covariate_level,smd_unweighted,smd_att_weighted
cat__CLAVECARRERA_BAR,-0.03557558893512517,-0.02249236064421049
cat__CLAVECARRERA_BBA,-0.053384501525878834,-0.04349284927161223
cat__CLAVECARRERA_BBM,-0.01778357485073947,-0.011245113690119742
cat__CLAVECARRERA_BCN,-0.025151761415949492,-0.016822900113190167
cat__CLAVECARRERA_BEC,-0.01778357485073947,-0.037983069351692614
cat__CLAVECARRERA_BFA,-0.01778357485073947,-0.01124511369011974
cat__CLAVECARRERA_BFP,-0.02515176141594949,-0.015903495058444714
cat__CLAVECARRERA_BHR,-0.025151761415949492,-0.015903495058444714
cat__CLAVECARRERA_BIC,-0.025151761415949492,-0.017105238898459694
cat__CLAVECARRERA_BII,-0.025151761415949492,-0.01640258821192983
cat__CLAVECARRERA_BIM,-0.017783574850739465,-0.01912231847948908
cat__CLAVECARRERA_BIS,-0.01778357485073947,-0.011245113690119742
cat__CLAVECARRERA_BIY,-0.01778357485073947,-0.011245113690119744
cat__CLAVECARRERA_BMK,-0.04707325254090686,-0.03231730566427631
cat__CLAVECARRERA_BMT,-0.01778357485073947,-0.011245113690119742
cat__CLAVECARRERA_BNA,-0.025151761415949495,-0.025501619290868457
cat__CLAVECARRERA_BNI,-0.0734164898135135,-0.05396500543826464
cat__CLAVECARRERA_BNM,-0.01778357485073947,-0.01291514570116501
cat__CLAVECARRERA_BQI,-0.017783574850739465,-0.011245113690119742
cat__CLAVECARRERA_BRT,-0.01778357485073947,-0.01828865696921499
cat__CLAVECARRERA_INT,-0.0251517614159495,-0.019484474055884365
cat__CLAVECARRERA_LAD,0.01709974563535217,0.010974967490854894
cat__CLAVECARRERA_LAI,0.027747519504220886,0.02105925212514747
cat__CLAVECARRERA_LAP,-0.04707325254090686,-0.04977149594281317
cat__CLAVECARRERA_LAR,-0.2007044778604596,-0.06667427693372256
cat__CLAVECARRERA_LAT,0.17344926068517094,0.02027442409971382
cat__CLAVECARRERA_LBC,0.03986423101946039,0.018779401990107268
cat__CLAVECARRERA_LBI,-0.04788130877196453,-0.014874873636862025
cat__CLAVECARRERA_LBM,-0.044476978665201644,-0.005720840905935
cat__CLAVECARRERA_LBN,0.08229899464862317,0.009688446614548069
cat__CLAVECARRERA_LBNM,-0.025151761415949492,-0.028488787299380567
cat__CLAVECARRERA_LCD,-0.03557558893512517,-0.02466269016891781
cat__CLAVECARRERA_LCN,-0.08381233010336529,-0.03066584986675207
cat__CLAVECARRERA_LCS,-0.02987497627492823,-0.011548364477108563
cat__CLAVECARRERA_LCU,-0.08543576577167608,-0.06924619913583271
cat__CLAVECARRERA_LDE,-0.005525585918142874,-0.001797543633024657
cat__CLAVECARRERA_LDS,0.14110139754814555,0.018810527800106357
cat__CLAVECARRERA_LEA,-0.030806926997481516,-0.026352594459643365
cat__CLAVECARRERA_LEC,-0.06989297707358652,-0.014490381549319871
cat__CLAVECARRERA_LEF,-0.03080692699748152,-0.019478339830292526
cat__CLAVECARRERA_LFA,0.060159191154771335,0.019774015031028196
cat__CLAVECARRERA_LFB,0.08774855526990466,0.024766717249184767
cat__CLAVECARRERA_LFP,-0.00997139557811234,0.0042318701148335094
cat__CLAVECARRERA_LHC,-0.025151761415949492,-0.027759357235602685
cat__CLAVECARRERA_LHR,-0.00240388671426619,0.0013658006466992546
cat__CLAVECARRERA_LIC,-0.06492494783006367,-0.021242917924840142
cat__CLAVECARRERA_LII,0.037687983971982045,0.007564501482679374
cat__CLAVECARRERA_LIM,-0.0697862977588288,-0.01612046800640293
cat__CLAVECARRERA_LIN,-0.1429825812027178,-0.0970091522057209
cat__CLAVECARRERA_LIO,-0.030806926997481516,-0.019478339830292526
cat__CLAVECARRERA_LIS,-0.043092491611235205,-0.014815102864810277
cat__CLAVECARRERA_LIV,-0.07762735972247004,-0.06261237562486265
cat__CLAVECARRERA_LIY,-0.10396678486015008,-0.07840962529252507
cat__CLAVECARRERA_LLI,-0.030806926997481516,-0.042197698563343114
cat__CLAVECARRERA_LMK,0.04542188365545615,0.017327302913599758
cat__CLAVECARRERA_LMR,-0.03557558893512517,-0.030118614610717378
cat__CLAVECARRERA_LMT,-0.08018805529760144,-0.017009121773570838
cat__CLAVECARRERA_LMTM,-0.01778357485073947,-0.01773831396681801
cat__CLAVECARRERA_LMU,-0.04707325254090686,-0.036868661014693604
cat__CLAVECARRERA_LNA,-0.01687577026282356,-0.0009584172324729233
cat__CLAVECARRERA_LND,0.0026268387044041624,0.008562571832304052
cat__CLAVECARRERA_LNEM,-0.01778357485073947,-0.011245113690119742
cat__CLAVECARRERA_LNI,0.04792067421725757,0.025064155173810047
cat__CLAVECARRERA_LNM,-0.04502654979967517,0.002429506470793689
cat__CLAVECARRERA_LNMM,-0.01778357485073947,-0.023002662228396004
cat__CLAVECARRERA_LPA,0.005477470883034878,0.011303758790861826
cat__CLAVECARRERA_LPD,0.07582711960825364,0.07796634157240626
cat__CLAVECARRERA_LPM,0.029624931744209892,0.009914441046376551
cat__CLAVECARRERA_LPO,-0.03557558893512517,-0.03328911482873606
