covariate_level,smd_unweighted,smd_att_weighted
cat__CLAVECARRERA_LPT,-0.017783574850739465,-0.011245113690119744
cat__CLAVECARRERA_LQI,0.06596411255337677,0.025882180165599192
cat__CLAVECARRERA_LRI,-0.056276660788335264,-0.04292276198235168
cat__CLAVECARRERA_LRM,0.07043382579673779,0.06621746098331716
cat__CLAVECARRERA_LRP,0.04697004210974193,0.04501850676591412
cat__CLAVECARRERA_LRPM,-0.01778357485073947,-0.011245113690119742
cat__CLAVECARRERA_LRT,0.04356556675101134,0.023553172904175638
cat__CLAVECARRERA_LTE,-0.025151761415949492,-0.025622306582010076
cat__YEAR_2019,0.11543201875111735,0.03329054964790849
cat__YEAR_2020,-0.3779644400872186,-0.07144774857232786
cat__YEAR_2021,-0.4427688587130038,-0.11640728564808893
cat__YEAR_2022,0.2831991349960487,0.052850193869962536
cat__YEAR_2023,0.23430801535323903,0.025053116309394254
cat__YEAR_2024,0.13078771595634608,0.018378175615963905
cat__SESSION_OTONO,0.16098210941762625,0.03992663724456919
cat__SESSION_PRIMAVERA,-0.16098210941762625,-0.03992663724456876
cat__CLAVEPROFESOR_15282,-0.013147550186185209,-0.005850112954580687
cat__CLAVEPROFESOR_18269,-0.032346175387030954,0.008290556984910531
cat__CLAVEPROFESOR_20792,0.3860098162715094,0.028429088107447566
cat__CLAVEPROFESOR_21192,-0.07132881403803962,-0.030931429312185243
cat__CLAVEPROFESOR_21262,0.021960539535255817,0.013799361669581255
cat__CLAVEPROFESOR_21779,-0.06797808011484956,-0.020965550709171214
cat__CLAVEPROFESOR_21815,-0.09762875655478606,-0.061648568478848496
cat__CLAVEPROFESOR_21853,0.06414041106977315,0.018455519751610906
cat__CLAVEPROFESOR_21854,-0.17034844268510765,-0.07792634133469882
cat__CLAVEPROFESOR_22091,-0.0890870806374748,-0.0592031053690609
cat__CLAVEPROFESOR_22114,-0.09762875655478605,-0.061648568478848496
cat__CLAVEPROFESOR_22115,-0.01797099490903291,-0.010965352038957453
cat__CLAVEPROFESOR_22446,-0.035544049237784134,-0.009102485247519764
cat__CLAVEPROFESOR_22471,0.14107883960125048,0.04749567002855285
cat__CLAVEPROFESOR_22473,0.03979429487343612,0.01433843753311305
cat__CLAVEPROFESOR_22474,-0.09762875655478605,-0.06415947058549301
cat__CLAVEPROFESOR_22480,-0.09598019702570296,-0.063628085529752
cat__CLAVEPROFESOR_22521,0.3074255228440288,0.05434712765315544
cat__CLAVEPROFESOR_23096,-0.09324295999918872,-0.04251774767831604
cat__CLAVEPROFESOR_23133,-0.14392835412242133,-0.04939171578758873
cat__CLAVEPROFESOR_23148,-0.059995152730065636,-0.0010598288050928213
cat__CLAVEPROFESOR_23149,0.05215407127131128,0.008722648769281126
cat__CLAVEPROFESOR_23152,-0.013788787542795503,0.014893791587298259
cat__CLAVEPROFESOR_23153,0.05582771534597485,0.015573158260291823
cat__CLAVEPROFESOR_23218,-0.07900370136899969,-0.00952911915936148
cat__CLAVEPROFESOR_23411,0.007018707802790149,0.0116560881097817
cat__CLAVEPROFESOR_23425,0.033103008346966105,0.018249325068015805
cat__CLAVEPROFESOR_23434,0.013666713431729526,0.008411420737964762
cat__CLAVEPROFESOR_23442,-0.0048736088437672685,0.0020776565769852575
cat__CLAVEPROFESOR_23452,-0.17720782123645912,-0.06928298841208314
cat__CLAVEPROFESOR_23453,-0.06898996117252555,-0.016994110296884208
cat__CLAVEPROFESOR_23468,0.019346991090250502,0.023170042907777102
cat__CLAVEPROFESOR_23823,-0.03134918092385655,0.01740652058830606
cat__CLAVEPROFESOR_23824,-0.042989738235227386,-0.011138505696616514
cat__CLAVEPROFESOR_23835,-0.04087491302416458,0.0005722404706476901
cat__CLAVEPROFESOR_23836,0.05761075844513392,0.0186898905032386
cat__CLAVEPROFESOR_23837,0.01463777990301405,0.014594343823563066
cat__CLAVEPROFESOR_23839,0.0021594837524104783,0.009755259437100506
cat__CLAVEPROFESOR_23852,-0.15387076332465183,-0.09937204817157504
cat__CLAVEPROFESOR_23874,-0.04146639742279065,-0.002663564388848276
cat__CLAVEPROFESOR_23885,-0.061901453290347304,-0.005826731551824005
cat__CLAVEPROFESOR_23897,-0.03518517251584433,0.012657721578094689
cat__CLAVEPROFESOR_23978,-0.21663462932625957,-0.10627273948402967
cat__CLAVEPROFESOR_24085,-0.15802527188252422,-0.10005597915851243
cat__CLAVEPROFESOR_24086,-0.17034844268510765,-0.07976179898447629
cat__CLAVEPROFESOR_24097,-0.18329609341729272,-0.071395975045981
cat__CLAVEPROFESOR_24117,0.001074014912661081,0.03298208563670281
cat__CLAVEPROFESOR_24510,-0.11836599123443645,-0.07469325018497697
cat__CLAVEPROFESOR_24827,0.09014533905418991,0.01648325041371726
cat__CLAVEPROFESOR_25093,0.03929605071977334,0.012934768673023426
cat__CLAVEPROFESOR_25487,-0.10549301320304673,-0.07170681816914215
cat__CLAVEPROFESOR_25494,0.19204731829980493,0.037152591703081085
cat__CLAVEPROFESOR_25503,0.031987140488502104,0.018378197864976156
