population,group,n,mean_z,sd_z,se_z,ci95_low,ci95_high
MU students with later Calculus and CMAT coverage,0,3274,0.3153701949267143,0.6333199406948785,0.01106837398409225,0.2936761819178935,0.3370642079355351
MU students with later Calculus and CMAT coverage,1,384,0.4285414266095258,0.6158991688572406,0.03142997284801032,0.36693867982742556,0.4901441733916261
MU students with later Calculus and CMAT coverage,2,183,0.45911362476879025,0.5187322087408582,0.038345788263049,0.3839558797732142,0.5342713697643663
MU students with later Calculus and CMAT coverage,3,129,0.4428011551070668,0.614376866934379,0.054092866931787116,0.33677913592076403,0.5488231742933696
MU students with later Calculus and CMAT coverage,4+,241,0.48265742220282565,0.5393024953823647,0.03473952760350537,0.4145679480999551,0.5507468963056962
