population,group1,group2,n1,n2,mean1,mean2,mean_diff_group1_minus_group2,games_howell_ci95_low,games_howell_ci95_high,games_howell_q,games_howell_df,games_howell_p,welch_t_reference,welch_p_reference
All first-MU attempts with CMAT coverage,0,1,5393,517,-0.060820037866852264,0.2189263123127385,-0.27974635017959076,-0.38869078011455793,-0.17080192024462357,9.932835167057943,666.369017424194,5.363887112252996e-11,-7.023575103034885,5.34939380691712e-12
All first-MU attempts with CMAT coverage,0,2,5393,245,-0.060820037866852264,0.24663601527603354,-0.3074560531428858,-0.442314298867874,-0.17259780741789763,8.850881889516419,287.82155513725843,1.403616312067868e-08,-6.258518603558262,1.4061325646661478e-09
All first-MU attempts with CMAT coverage,0,3,5393,170,-0.060820037866852264,0.27779377804237565,-0.3386138159092279,-0.5112530208480949,-0.16597461097036093,7.640829587861573,186.7696401413638,1.9631365173466975e-06,-5.402882415467731,1.9813651729519174e-07
All first-MU attempts with CMAT coverage,0,4+,5393,302,-0.060820037866852264,0.35485693622654396,-0.4156769740933962,-0.5298188707133561,-0.30153507747343633,14.1163291702728,380.12582836346655,3.042011087472929e-14,-9.981752081761368,5.417901170533097e-21
All first-MU attempts with CMAT coverage,1,2,517,245,0.2189263123127385,0.24663601527603354,-0.02770970296329503,-0.19229954937020707,0.13688014344361701,0.6516404065060893,544.9580327443298,0.9907156680098204,-0.4607793503356141,0.6451407425884567
All first-MU attempts with CMAT coverage,1,3,517,170,0.2189263123127385,0.27779377804237565,-0.058867465729637136,-0.2554342058774461,0.1376992744181718,1.1622309586969333,304.8138058832525,0.9237765854928232,-0.8218213921995438,0.4118209085175378
All first-MU attempts with CMAT coverage,1,4+,517,302,0.2189263123127385,0.35485693622654396,-0.13593062391380545,-0.2841318219811908,0.012270574153579933,3.5470100268797013,738.979251525768,0.08989151928066308,-2.508114842943315,0.012350937890216232
All first-MU attempts with CMAT coverage,2,3,245,170,0.24663601527603354,0.27779377804237565,-0.031157762766342106,-0.24282497433525924,0.18050944880257502,0.57086698828039,345.2023673541868,0.9943949770162395,-0.40366391856860506,0.6867098078240348
All first-MU attempts with CMAT coverage,2,4+,245,302,0.24663601527603354,0.35485693622654396,-0.10822092095051042,-0.27618658752729597,0.05974474562627513,2.494533794935123,503.6354296075242,0.3959643203651283,-1.7639017622976383,0.07835474770290202
All first-MU attempts with CMAT coverage,3,4+,170,302,0.27779377804237565,0.35485693622654396,-0.07706315818416831,-0.27642894070068896,0.12230262433235234,1.5000208848790468,307.8867730525464,0.826462785226626,-1.0606749396194197,0.28966898268952024
