YEAR,SESSION,n,any_cmat_visit,reached_ppa_ge3,exact_3_visits,beyond_ppa_gt3,mean_cmat_visits
2019,OTONO,1208,0.26241721854304634,0.09933774834437085,0.033112582781456956,0.06622516556291391,0.7649006622516556
2019,PRIMAVERA,401,0.09975062344139651,0.02743142144638404,0.007481296758104738,0.0199501246882793,0.2119700748129676
2020,OTONO,1155,0.11601731601731602,0.0329004329004329,0.012987012987012988,0.019913419913419914,0.2753246753246753
2020,PRIMAVERA,261,0.11877394636015326,0.022988505747126436,0.011494252873563218,0.011494252873563218,0.21455938697318008
2021,OTONO,1071,0.08403361344537816,0.026143790849673203,0.012138188608776844,0.014005602240896359,0.1942110177404295
2021,PRIMAVERA,287,0.15331010452961671,0.024390243902439025,0.010452961672473868,0.013937282229965157,0.2613240418118467
2022,OTONO,692,0.3222543352601156,0.14739884393063585,0.05057803468208093,0.0968208092485549,1.180635838150289
2022,PRIMAVERA,183,0.14207650273224043,0.03825136612021858,0.01639344262295082,0.02185792349726776,0.31693989071038253
2023,OTONO,926,0.24406047516198703,0.1101511879049676,0.04103671706263499,0.06911447084233262,0.7429805615550756
2023,PRIMAVERA,204,0.23039215686274508,0.08823529411764706,0.014705882352941176,0.07352941176470588,0.8186274509803921
2024,PRIMAVERA,239,0.23430962343096234,0.13807531380753138,0.058577405857740586,0.0794979079497908,0.7364016736401674
