student_id,career,period,year,partial_1,partial_2,partial_3,partial_4,total,exam_type,percentage
stu_fd8d70e2e52abd93dc48f9e6c617726e,Ingeniería Industrial,P,2020,10.0,30.0,10.0,10.0,60.0,DMU,40.0
stu_cdb6e832d3d60f6e573984fc5d61a1ba,Ingeniería en Industrias Alimentarias,P,2020,30.0,40.0,20.0,20.0,110.0,DMU,73.33333333333333
stu_9bcb94bddca120caedd8a938ae342683,Ingeniería Industrial,P,2020,20.0,10.0,10.0,10.0,50.0,DMU,33.33333333333333
stu_adf51d45a5d0560b642bf965c8f57067,Mercadotecnia,P,2020,40.0,10.0,30.0,10.0,90.0,DMU,60.0
stu_a7d8726eee0198da73205d35c4fbf908,Economía,P,2020,40.0,30.0,20.0,20.0,110.0,DMU,73.33333333333333
stu_5ce6a00e91d4d7c74bab4513db1703a5,,P,2020,10.0,20.0,20.0,10.0,60.0,DMU,40.0
stu_849ed0541ac4a1c452195497bdf72038,Mercadotecnia,P,2020,40.0,30.0,10.0,0.0,80.0,DMU,53.33333333333334
stu_75fc097fa0bf430417abb6c66a14f071,Economía,P,2020,10.0,10.0,10.0,0.0,30.0,DMU,20.0
stu_eb1ca6729a68e568f19a7c1493a5b1ad,,P,2020,30.0,20.0,20.0,0.0,70.0,DMU,46.66666666666666
stu_dce8acb17c998ddca571f55a91e85c6b,Ingeniería Mecánica,P,2020,20.0,20.0,30.0,20.0,90.0,DMU,60.0
stu_defa3a7091a67116c29cd41e6399c387,Administración de Negocios Internacionales,P,2020,40.0,10.0,40.0,0.0,90.0,DMU,60.0
stu_f20c0c7f5173114de8dd931f6012c76d,,P,2020,40.0,20.0,40.0,10.0,110.0,DMU,73.33333333333333
stu_951843bdbb6bf603e00fcb9294e2bcfa,Ingeniería Mecatrónica,P,2020,40.0,40.0,40.0,30.0,150.0,DMU,100.0
stu_dc09bd47b9f3c43611c3207b63b3bcba,Mercadotecnia,P,2020,20.0,20.0,10.0,0.0,50.0,DMU,33.33333333333333
stu_8e71061d651051966eb044e02477722c,Actuaría,P,2020,40.0,20.0,30.0,0.0,90.0,DMU,60.0
stu_4005d1deaf771cc1df0eaf951ed2a4fe,,P,2020,40.0,20.0,40.0,20.0,120.0,DMU,80.0
stu_6101e791bdb500ee993dc02e4d6d74c1,,P,2020,20.0,0.0,10.0,20.0,50.0,DMU,33.33333333333333
stu_e64a5526dd3cf58e6706fad36090ccbc,Administración de Negocios Internacionales,P,2020,10.0,20.0,30.0,10.0,70.0,DMU,46.66666666666666
stu_573c089881ec9008cb283028cbaa0322,Ingeniería Industrial,P,2020,30.0,40.0,20.0,20.0,110.0,DMU,73.33333333333333
stu_5dbb8a68fd2a11159517a36c5b29eb79,Actuaría,P,2020,40.0,30.0,30.0,10.0,110.0,DMU,73.33333333333333
stu_bfcd8cf9062fa68284ee207fa4ff14f3,,P,2020,30.0,30.0,30.0,20.0,110.0,DMU,73.33333333333333
stu_4f33b8aa6a17b638fedc679c665976fb,Actuaría,P,2020,20.0,30.0,30.0,10.0,90.0,DMU,60.0
stu_30fa31a2e9c8563b9484a65085acfa83,Física,P,2020,40.0,30.0,20.0,10.0,100.0,DMU,66.66666666666666
stu_edafb699e73e1ec76907716d8dfe1755,Administración de Empresas,P,2020,30.0,20.0,20.0,20.0,90.0,DMU,60.0
stu_8db35d01cf13804dfb499b0f7ca85175,,P,2020,40.0,20.0,30.0,30.0,120.0,DMU,80.0
stu_d12e050df98d69a06159e060f30e74f0,,P,2020,20.0,0.0,10.0,0.0,30.0,DMU,20.0
stu_178e1548151d0e732c32b047185d88e9,Ingeniería Mecatrónica,P,2020,30.0,10.0,20.0,0.0,60.0,DMU,40.0
stu_d5af0f928e3e7c6274dbb876f0580655,Actuaría,P,2020,30.0,40.0,30.0,30.0,130.0,DMU,86.66666666666667
stu_c81b21ae11f708eeccaeb24f89afe1fc,Economía,P,2020,30.0,20.0,20.0,10.0,80.0,DMU,53.33333333333334
stu_7c33072b77b60ad4828aaf0e4eb479ae,Administración de Empresas,P,2020,30.0,20.0,10.0,0.0,60.0,DMU,40.0
stu_eeb0a884d91fbef85896fbfc52cbe786,,P,2020,10.0,0.0,0.0,10.0,20.0,DMU,13.33333333333333
stu_0aad5ed9f29494b7d0f2474f9da9b310,,P,2020,10.0,10.0,40.0,10.0,70.0,DMU,46.66666666666666
stu_1d477bc88da7d129278099c05283e2a5,,P,2020,10.0,20.0,10.0,10.0,50.0,DMU,33.33333333333333
stu_e9c4d1cdba20f563b8b7664bc76ba851,,P,2020,30.0,30.0,40.0,20.0,120.0,DMU,80.0
stu_d03ac3594a1ab7d778ee7a0c73f4acd3,Biología,P,2020,0.0,20.0,10.0,0.0,30.0,DMU,20.0
stu_38a10a8ab8c3f6ba1973b50d13cee125,,P,2020,40.0,40.0,30.0,10.0,120.0,DMU,80.0
stu_5493464cf797bf5bf8e2a07fc15e8059,,P,2020,10.0,10.0,20.0,10.0,50.0,DMU,33.33333333333333
stu_1ba241101662f2531772017b0819826e,,P,2020,30.0,10.0,20.0,0.0,60.0,DMU,40.0
stu_1411142a07c6300b5e493b7076eea625,Ingeniería Industrial,P,2020,30.0,10.0,10.0,10.0,60.0,DMU,40.0
stu_d99545007172de9f35b26434d40d74e0,Administración de Empresas,P,2020,20.0,20.0,30.0,10.0,80.0,DMU,53.33333333333334
stu_4249064b43b4e88f56fec43acf019217,,P,2020,20.0,10.0,30.0,0.0,60.0,DMU,40.0
stu_dae61923a48256931bfbdbbc20c8cbaf,Ingeniería Civil,P,2020,10.0,10.0,30.0,20.0,70.0,DMU,46.66666666666666
stu_40ae85277168137ab9ca4a1939f20472,,P,2020,40.0,20.0,30.0,20.0,110.0,DMU,73.33333333333333
stu_7d27340635ef4e235f3fca5bfec9d1a7,Ingeniería Civil,P,2020,20.0,40.0,40.0,10.0,110.0,DMU,73.33333333333333
stu_b1e249d9e8814fa7d966c6cf663e6be7,,P,2020,40.0,30.0,40.0,20.0,130.0,DMU,86.66666666666667
stu_43ca488ebc4705685cc97919b2ee0b0b,Banca e Inversiones,P,2020,10.0,30.0,40.0,20.0,100.0,DMU,66.66666666666666
stu_12f6060600903b4c7edc87d3d48cfc33,Banca e Inversiones,P,2020,20.0,40.0,20.0,10.0,90.0,DMU,60.0
stu_c999700f6509618c37e7766a1e67d984,Actuaría,P,2020,40.0,30.0,10.0,0.0,80.0,DMU,53.33333333333334
stu_dc71d44108045b53af5c52b18950280a,Actuaría,P,2020,30.0,10.0,20.0,0.0,60.0,DMU,40.0
stu_6395538b8c81929450225e98883d6701,Administración de Empresas,P,2020,20.0,10.0,20.0,10.0,60.0,DMU,40.0
stu_46a04dee48a6d0f1418fabc5bcfd9de3,,P,2020,40.0,20.0,10.0,10.0,80.0,DMU,53.33333333333334
stu_57fa5fc8826e4e928391ba8d3241706a,Actuaría,P,2020,20.0,20.0,30.0,0.0,70.0,DMU,46.66666666666666
stu_61c6ce261ed15a1270d9c488c3436ed0,Nanotecnología e Ingeniería Molecular,P,2020,40.0,40.0,40.0,10.0,130.0,DMU,86.66666666666667
stu_86abad4cbe910b138f94bec2bd5116ac,,P,2020,30.0,10.0,40.0,10.0,90.0,DMU,60.0
stu_e172dc08c9a5a6f45be3179dc206a240,,P,2020,10.0,0.0,40.0,10.0,60.0,DMU,40.0
stu_a1096211020ddbd00717b7c501c06efe,Mercadotecnia,P,2020,30.0,10.0,0.0,20.0,60.0,DMU,40.0
stu_c8e12a0cd8a01c9116e43362bb8f2bd8,Ingeniería en Logística,P,2020,30.0,30.0,20.0,0.0,80.0,DMU,53.33333333333334
stu_600f55615d3de65e74bfd7fae07d0422,Física,P,2020,40.0,40.0,30.0,0.0,110.0,DMU,73.33333333333333
stu_c9de2793304fb369c410635c308b97bf,Nanotecnología e Ingeniería Molecular,P,2020,30.0,40.0,20.0,10.0,100.0,DMU,66.66666666666666
stu_e92fd0838fe5c4b2e44595a0f175f066,Actuaría,P,2020,10.0,20.0,10.0,10.0,50.0,DMU,33.33333333333333
stu_67a49df28af0d026e6af287b5e7c39ed,,P,2020,40.0,30.0,20.0,0.0,90.0,DMU,60.0
stu_16a85e6088d8f7d31af85983a3d49218,,P,2020,0.0,20.0,30.0,10.0,60.0,DMU,40.0
stu_b48f3bbfcf1170c3e7c0b41bf62f2538,Ingeniería en Sistemas Computacionales,P,2020,30.0,40.0,20.0,20.0,110.0,DMU,73.33333333333333
