CLAVECARRERA,n,mean_z,sd_z,median_z,mean_visits,any_visit_rate,ppa_reached_rate,se_z,ci95_low,ci95_high,inferentially_included
LEC,174,0.09825927233352028,0.9338115960864124,0.38208555515618237,0.5804597701149425,0.16091954022988506,0.06321839080459771,0.07079207440644024,-0.0404931935031026,0.23701173817014315,True
LNI,550,0.08948634996746929,0.8853704187385014,0.4053460019117773,0.5818181818181818,0.19818181818181818,0.07818181818181819,0.03775232150302305,0.015491799821544111,0.16348090011339447,True
LMTM,1,0.07841879940891763,,0.07841879940891763,0.0,0.0,0.0,,,,False
LBN,281,0.06019957155046156,0.9881930624417412,0.3789396001516547,0.5551601423487544,0.1601423487544484,0.08185053380782918,0.05895065578336012,-0.05534371378492427,0.1757428568858474,True
LQI,151,0.05127683417154433,1.0381140380713785,0.4475096230362396,0.8013245033112583,0.2251655629139073,0.09933774834437085,0.08448052230708118,-0.11430498955033477,0.21685865789342343,True
LNA,53,0.04985392351143609,1.0054625883058743,0.490985191966912,0.5094339622641509,0.22641509433962265,0.05660377358490566,0.13811090815900343,-0.22084345648021064,0.3205513035030828,True
LIN,64,0.04254897173690639,0.9660730121787066,0.3311400526847095,0.40625,0.203125,0.0625,0.12075912652233832,-0.1941389162468767,0.27923685972068946,True
LFA,138,0.028787082287057446,0.9477221087436395,0.38768876822525167,0.6594202898550725,0.2463768115942029,0.10144927536231885,0.08067546344124761,-0.12933682605778787,0.18691099063190278,True
LIC,222,0.021469345692512607,0.9946232925606184,0.34137577772879957,0.43243243243243246,0.14414414414414414,0.06306306306306306,0.06675474454589692,-0.10936995361744534,0.15230864500247054,True
LIM,201,-0.0041591995166991086,1.049130451904843,0.36840698898016094,0.39303482587064675,0.12437810945273632,0.05472636815920398,0.0739999564714831,-0.14919911420080598,0.14088071516740777,True
LIS,271,-0.005181031271243152,1.0544875010082901,0.4207845373369735,0.44280442804428044,0.16236162361623616,0.05904059040590406,0.06405555389221171,-0.1307299168999781,0.1203678543574918,True
LRT,96,-0.010004075565431885,1.0485539131206514,0.30003331702191194,1.0,0.16666666666666666,0.10416666666666667,0.10701758562267498,-0.21975854338587486,0.19975039225501107,True
LEA,3,-0.01038162657716494,1.3123236534747975,0.25432698639316587,1.0,0.3333333333333333,0.3333333333333333,0.7576704145975875,-1.4954156391884366,1.4746523860341065,False
LBI,152,-0.013095203529201049,1.0024990061290713,0.32292372052975915,0.4144736842105263,0.18421052631578946,0.05263157894736842,0.08131340672821749,-0.17246948071650733,0.14627907365810525,True
LBNM,2,-0.02120629568709914,0.8173047281744357,-0.02120629568709914,0.5,0.5,0.0,0.5779217155879713,-1.153932858239523,1.1115202668653248,False
LAR,445,-0.024334687559620594,0.9602840382894529,0.2905911560935839,0.23370786516853934,0.09662921348314607,0.038202247191011236,0.04552182916768513,-0.11355747272828344,0.06488809760904225,True
LFP,343,-0.032261941928111215,1.0087635969608695,0.339667461631089,0.5510204081632653,0.19825072886297376,0.06997084548104957,0.054468114473743924,-0.1390194462966493,0.07449556244042688,True
LCN,160,-0.06258337886373012,0.9067761635989547,0.2828425931236329,0.4375,0.1875,0.05,0.07168695012305405,-0.2030898011049161,0.07792304337745583,True
LFB,131,-0.07480022920394803,0.9965279648438904,0.34825615999268755,0.6412213740458015,0.2366412213740458,0.09923664122137404,0.08706705254602752,-0.24545165219416198,0.0958511937862659,True
LMK,350,-0.08023953099503013,1.0015886282686426,0.24909076230115232,0.5971428571428572,0.2,0.07428571428571429,0.05353716413528779,-0.1851723727001942,0.024693310710133948,True
BRT,1,-0.09139506947408879,,-0.09139506947408879,1.0,1.0,0.0,,,,False
LPA,20,-0.10720133062947379,0.909298655931533,0.2797677166380312,0.4,0.2,0.05,0.20332536065121,-0.5057190375058453,0.2913163762468978,False
LHR,178,-0.13100479317927216,1.0754508595717054,0.27165643227897396,0.5337078651685393,0.15168539325842698,0.07303370786516854,0.08060844992068313,-0.2889973550238111,0.026987768665266754,True
LMU,7,-0.18478379113890833,1.1259839994359628,0.45847465030808854,0.0,0.0,0.0,0.42558194896363566,-1.0189244111076343,0.6493568288298176,False
LIY,34,-0.201574093566915,1.2506739152700523,0.10650948560759982,0.14705882352941177,0.14705882352941177,0.0,0.21448880694345596,-0.6219721551760886,0.21882396804225865,True
LAD,562,-0.26627905485835895,0.9985993882104857,0.06141662668485223,0.5231316725978647,0.20818505338078291,0.06405693950177936,0.04212337281849136,-0.348840865582602,-0.1837172441341159,True
LAI,13,-0.27084603195097057,0.7580402678691308,-0.20462200530857852,0.5384615384615384,0.3076923076923077,0.07692307692307693,0.21024254266681605,-0.68292141557793,0.14122935167598888,False
LEF,3,-0.3095608583688274,0.5044289632513449,-0.44908390534970966,0.0,0.0,0.0,0.2912321977202078,-0.8803759659004347,0.26125424916277984,False
LND,21,-0.33874309249653134,1.2469436889870655,-0.2210887889488599,0.42857142857142855,0.14285714285714285,0.047619047619047616,0.2721054210538429,-0.8720697177620634,0.19458353276900076,False
LPD,2,-0.35447841618167863,1.020609228492389,-0.35447841618167863,2.0,0.5,0.5,0.7216797064085388,-1.7689706407424146,1.0600138083790576,False
LIV,19,-0.36209997228471485,1.023825719337453,0.007113700491164774,0.0,0.0,0.0,0.23488172875735755,-0.8224681606491356,0.09826821607970593,False
LAP,7,-0.3843742713197652,1.3600233270333322,0.28043577846450546,0.5714285714285714,0.42857142857142855,0.0,0.5140405000824093,-1.3918936514812876,0.6231451088417571,False
BFA,1,-0.3898907814464878,,-0.3898907814464878,0.0,0.0,0.0,,,,False
LNMM,1,-0.4434974845626385,,-0.4434974845626385,0.0,0.0,0.0,,,,False
LCU,23,-0.48414687387375505,1.11537888794079,-0.29039913114622,0.2608695652173913,0.17391304347826086,0.0,0.23257257527060549,-0.9399891214041418,-0.028304626343368278,False
BNA,2,-0.5746223501673267,1.6027839200589484,-0.5746223501673267,1.0,0.5,0.0,1.1333393786504395,-2.795967532322188,1.6467228319875347,False
LPM,30,-0.6306420084823932,1.3829642281405403,-0.30024876783186705,0.6,0.23333333333333334,0.13333333333333333,0.2524935679917649,-1.1255294017462525,-0.13575461521853394,True
LDE,24,-0.6658306793148372,1.1958902665891085,-0.26242055219684796,0.4166666666666667,0.125,0.08333333333333333,0.24411007845868848,-1.1442864330938667,-0.18737492553580776,False
LRP,8,-0.7046170377852985,0.7609557378751198,-0.7711833360181949,0.625,0.125,0.125,0.26903848121715507,-1.2319324609709223,-0.17730161459967453,False
BIM,1,-0.7342168796556895,,-0.7342168796556895,0.0,0.0,0.0,,,,False
BBA,9,-0.7513894974653111,0.964582420336549,-0.3412716257964757,0.0,0.0,0.0,0.3215274734455163,-1.3815833454185231,-0.12119564951209916,False
LCD,4,-0.851374484006669,1.3828056567487248,-0.7036596183170188,0.0,0.0,0.0,0.6914028283743624,-2.206524027620419,0.5037750596070811,False
BAR,4,-0.8515888958958056,1.8130649599182997,-0.17817242586607862,0.0,0.0,0.0,0.9065324799591499,-2.628392556615739,0.9252147648241282,False
BCN,2,-0.8621363643552971,1.1289155391727548,-0.8621363643552971,0.0,0.0,0.0,0.7982638331359224,-2.4267334773017053,0.702460748591111,False
LMR,4,-0.8637565614308637,1.1333051762249482,-0.9959476843575623,0.0,0.0,0.0,0.5666525881124741,-1.9743956341313127,0.2468825112695855,False
BHR,2,-0.8808210030292214,2.1147054441340885,-0.8808210030292214,0.0,0.0,0.0,1.4953225597593236,-3.8116532201574955,2.0500112140990527,False
LLI,3,-0.9133172404661276,1.259032392662746,-1.3155544826942205,0.0,0.0,0.0,0.7269026908222951,-2.338046514477826,0.5114120335455707,False
LRI,10,-0.9340918035898514,1.3330093237926597,-0.794504380179057,0.3,0.2,0.0,0.4215345605425685,-1.7602995422532857,-0.10788406492641722,False
LRM,3,-0.9367050503146568,3.0943528198019354,0.8374358007272431,5.333333333333333,0.3333333333333333,0.3333333333333333,1.786525433480325,-4.4382948999360945,2.5648847993067805,False
BFP,2,-1.0101138836485082,1.9158017566856682,-1.0101138836485082,0.0,0.0,0.0,1.3546764135615361,-3.665279654229119,1.6450518869321025,False
BNI,17,-1.0212056763856694,1.1422612273989818,-0.9784155513949913,0.0,0.0,0.0,0.27703904074198094,-1.5642021962399522,-0.47820915653138674,False
BII,2,-1.090838210847381,1.33724684126202,-1.090838210847381,0.0,0.0,0.0,0.9455763095766649,-2.9441677776176443,0.7624913559228821,False
BIY,1,-1.1629794556915967,,-1.1629794556915967,0.0,0.0,0.0,,,,False
LPT,1,-1.2322513395103591,,-1.2322513395103591,0.0,0.0,0.0,,,,False
BEC,1,-1.3155544826942205,,-1.3155544826942205,0.0,0.0,0.0,,,,False
BQI,1,-1.607443084955097,,-1.607443084955097,0.0,0.0,0.0,,,,False
INT,2,-1.6442655350197062,1.275511608198763,-1.6442655350197062,0.0,0.0,0.0,0.901922907639504,-3.412034433993134,0.12350336395372152,False
BNM,1,-1.8896563444395889,,-1.8896563444395889,0.0,0.0,0.0,,,,False
BIS,1,-2.310590471535403,,-2.310590471535403,0.0,0.0,0.0,,,,False
BMT,1,-2.642094584857487,,-2.642094584857487,0.0,0.0,0.0,,,,False
