CLAVECARRERA,n,mean_z,sd_z,median_z,mean_visits,any_visit_rate,ppa_reached_rate,se_z,ci95_low,ci95_high,inferentially_included
BBM,1,0.5748318634906039,,0.5748318634906039,0.0,0.0,0.0,,,,False
BIC,2,0.569626673282748,0.3511269986077136,0.569626673282748,0.5,0.5,0.0,0.24828428177319373,0.08298948100728826,1.0562638655582077,False
LTE,2,0.43126360880041403,0.7716457488036311,0.43126360880041403,0.0,0.0,0.0,0.5456359416528188,-0.6381828368391109,1.500710054439939,False
LNEM,1,0.2671603367125784,,0.2671603367125784,0.0,0.0,0.0,,,,False
LBM,199,0.24645212254046922,0.8846510838909716,0.5113062156169753,0.5276381909547738,0.21105527638190955,0.06532663316582915,0.06271125263605623,0.12353806737379901,0.3693661777071394,True
LRPM,1,0.20751209283526814,,0.20751209283526814,0.0,0.0,0.0,,,,False
LPO,4,0.20605188349886666,0.1069235658137082,0.21524902127805054,0.0,0.0,0.0,0.0534617829068541,0.10126678900143263,0.3108369779963007,False
LNM,249,0.1897160793622633,0.93283365526277,0.5296201645043915,0.4939759036144578,0.17269076305220885,0.060240963855421686,0.059115930904540814,0.07384885478936332,0.3055833039351633,True
LIO,3,0.1844597442593946,0.5770130598196882,0.27152863339430383,0.0,0.0,0.0,0.3331386454128266,-0.4684920007497455,0.8374114892685347,False
LII,361,0.18254949359558292,0.8049451487816307,0.4255154029436335,0.6398891966759003,0.19113573407202217,0.06925207756232687,0.042365534146401616,0.09951304666863575,0.2655859405225301,True
LBC,118,0.16834546284365015,0.8163168489806784,0.3878813437403379,0.6440677966101694,0.23728813559322035,0.1016949152542373,0.07514805713343513,0.02105527086211731,0.31563565482518297,True
LDS,87,0.16519137399324454,0.9850434350295152,0.5130029726789069,1.0919540229885059,0.26436781609195403,0.16091954022988506,0.10560774140548221,-0.04179979916150059,0.3721825471479897,True
LMT,320,0.14586794085488475,0.8994815950995378,0.4555283654184556,0.346875,0.14375,0.05625,0.050282549778812705,0.04731414328841185,0.24442173842135764,True
LHC,2,0.14546464604067183,1.5836377268221682,0.14546464604067183,0.0,0.0,0.0,1.1198009755788043,-2.0493452660937845,2.340274558175128,False
LCS,86,0.13427155696613866,1.0054298302555154,0.4454164282230911,0.5581395348837209,0.2441860465116279,0.08139534883720931,0.10841828685791458,-0.0782282852753739,0.3467713992076512,True
LAT,368,0.11367028247240726,0.963895579955817,0.4717108722962803,0.9184782608695652,0.30434782608695654,0.125,0.05024653051667286,0.015187082659728457,0.21215348228508607,True
BMK,7,0.10036539263398324,0.6191120558927172,0.11193076879001412,0.14285714285714285,0.14285714285714285,0.0,0.23400236193915008,-0.3582792367667509,0.5590100220347174,False
