group_1,group_2,n_1,n_2,mean_1,mean_2,mean_difference_1_minus_2,games_howell_q,df,p_value_fwer,ci95_low,ci95_high,significant_005
0,1-2,5393,762,-0.060235425063538836,0.21818756086511845,-0.2784229859286573,12.054020490600609,1123.6078377325418,3.164135620181696e-14,-0.36246717301915116,-0.1943787988381634,True
0,3,5393,170,-0.060235425063538836,0.3249941332679091,-0.38522955833144795,9.51770573735276,190.65374621771025,1.1588546788843246e-09,-0.5335870235506058,-0.2368720931122901,True
0,4+,5393,302,-0.060235425063538836,0.3421911368639076,-0.40242656192744647,13.155096322195396,373.4138140428772,3.107514245925813e-13,-0.5140703233257626,-0.2907828005291303,True
1-2,3,762,170,0.21818756086511845,0.3249941332679091,-0.10680657240279065,2.400368004721101,273.611308996593,0.3270558719490647,-0.26946516372782503,0.0558520189222437,False
1-2,4+,762,302,0.21818756086511845,0.3421911368639076,-0.12400357599878917,3.4694466450597155,628.8394888923528,0.0684816088332536,-0.2542063661763452,0.006199214178766871,False
3,4+,170,302,0.3249941332679091,0.3421911368639076,-0.017197003595998517,0.3523431292963181,345.63051455053306,0.9945621429617885,-0.1953882441420363,0.16099423695003925,False
