model,term,log_odds_coef,cluster_se,p_value,odds_ratio,or_ci95_low,or_ci95_high,n,mu_classrooms,covariance
unadjusted_group_logit,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.1-2]",1.3039859257923827,0.11095390660720617,6.855898160211378e-32,3.6839513987796924,2.9639423728846848,4.57886699577167,3241,178,cluster-robust by MU course classroom
unadjusted_group_logit,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.3]",1.7434286940793151,0.18025511293126306,3.9652470657499583e-22,5.71691139746279,4.015392755692888,8.13944685239146,3241,178,cluster-robust by MU course classroom
unadjusted_group_logit,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.4+]",2.269034658359739,0.17263002113839865,1.8442730431635964e-39,9.670061394005057,6.894238303387065,13.56351249388733,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.1-2]",1.2613405167445664,0.11249705690677933,3.5521575539976976e-29,3.5301505428817324,2.8316238249635464,4.4009951977179105,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.3]",1.5767295582171847,0.21482430204312153,2.1419507088711006e-13,4.839103896409995,3.1761877701108747,7.372651812532152,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.4+]",2.2839613662939424,0.1812655836954738,2.1092293040427853e-36,9.815486233064105,6.88047266307772,14.002492954949872,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LAT],1.4982521586817854,0.3213082124770909,3.116706439148175e-06,4.473862630685285,2.3833322995673414,8.398093225135144,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LBC],0.7517357699817779,0.35682648522450516,0.035141304060883595,2.120677832690901,1.0537642045169753,4.267818598116111,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LBI],0.5325085513330208,0.36596487971402814,0.14564683231957878,1.703199517544633,0.8312959315712998,3.4895979715443404,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LBM],0.6256337911270231,0.29410027754559787,0.033396782382782875,1.869430410451398,1.050438650481555,3.3269625578974718,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LBN],0.9658891549415174,0.29519886758559005,0.001067915462956348,2.6271225372713336,1.473013063676979,4.685479712318749,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LCS],1.2342843268154466,0.3712500517440121,0.0008852288954729336,3.4359186457377806,1.6597178136457642,7.1129783888963045,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LDS],0.42860865502275586,0.4635232399845898,0.3551346471566721,1.5351201552672733,0.6188575256650934,3.8079748461896106,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LEC],1.3430605846476535,0.2904396805440523,3.759881099923754e-06,3.8307499163804937,2.168009078567989,6.768719313455107,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LFA],1.4473690264874135,0.3597191331981123,5.731311787091694e-05,4.251913115552492,2.1008299498543086,8.605534752330172,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LFB],-0.6260378076806882,0.44483283909255966,0.15932208961166594,0.5347062182478712,0.2236005335680119,1.2786675204689324,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LFP],0.5334123416112164,0.3123798163101537,0.08771500648337469,1.7047395485381078,0.9241869990854352,3.1445334453154947,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LIC],-0.04234726870767448,0.37036207991584835,0.9089681284004714,0.9585368529139817,0.46382701601376647,1.9808956069237895,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LII],0.9739922889592719,0.30558468445632814,0.00143604123123348,2.6484969461669183,1.4550748072187165,4.82073913935967,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LIM],1.039487557174773,0.32017339746238926,0.001167762569705703,2.8277675738009687,1.509772880638126,5.2963393063865905,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LIN],2.1203454515297953,0.4685716705277244,6.035977617582714e-06,8.33401598904047,3.3266368980048444,20.878690592062643,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LIS],0.4175305787688366,0.3678996439443488,0.2564157701519719,1.5182078281149034,0.7382007493464935,3.122395921962797,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LMK],0.37632951363959505,0.31257257609242034,0.22859930777965187,1.4569271320456587,0.7895426082777889,2.6884384019766165,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LMT],0.7662795964410528,0.31722654487374674,0.015711055033252236,2.1517459803058214,1.155492885395943,4.006957396518918,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LNA],0.4738701946944805,0.5122885050101186,0.35496252871677125,1.606198480410646,0.58848912901214,4.383893314739971,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LNI],0.677947122807986,0.280433856765976,0.01562779827125344,1.9698297600706034,1.136901822847899,3.412985365737186,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LNM],0.7523642435551225,0.3163118258256808,0.017380767749719004,2.1220110415657154,1.1415699419218126,3.9445072046538017,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LQI],0.577332830424002,0.33479211624912564,0.08462633315603289,1.7812811104961517,0.9241807036575049,3.433270552017802,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.LRT],0.24225645417459735,0.40495498996644724,0.5496860967862585,1.2741209045460233,0.5761191733443657,2.8177921418192855,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_CAREER_MODEL)[T.OTHER],0.6911706265229998,0.36807551581372283,0.060409116641061626,1.9960507961192633,0.9702086494764542,4.1065587106838475,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_PERIOD_LABEL)[T.2019-PRIMAVERA],1.3266824684036815,0.2744175616133568,1.334543826930512e-06,3.7685204407849313,2.200828611219748,6.452908799991895,3241,178,cluster-robust by MU course classroom
adjusted_prior_performance_major_term_logit,C(MU_PERIOD_LABEL)[T.2020-OTONO],-0.16397429892726545,0.14263518264903596,0.25030607851740694,0.8487638357409626,0.641764336459314,1.1225305114899962,3241,178,cluster-robust by MU course classroom
