mu_visit_group,calc_any_visit,profile,n,proportion_total,mean_z_mu,mean_z_calc,mean_delta_z
0,0,0 -> Calc no use,2044,0.6306695464362851,0.31177386379217215,0.028824136497510682,-0.2829497272946615
0,1,0 -> Calc use,426,0.13144091329836471,0.4034903194577589,0.3042685601577197,-0.09922175930003914
1-2,0,1-2 -> Calc no use,267,0.08238198087010182,0.3337218537163984,0.16192499713273048,-0.1717968565836679
1-2,1,1-2 -> Calc use,205,0.06325208269052761,0.44909282832177144,0.39506283157026406,-0.05402999675150737
3,0,3 -> Calc no use,47,0.014501697007096576,0.37982550306631885,0.18584778887926048,-0.1939777141870583
3,1,3 -> Calc use,56,0.017278617710583154,0.47245980875379984,0.47607575080192394,0.0036159420481240317
4+,0,4+ -> Calc no use,65,0.02005553841406973,0.248940694417648,0.21298746537185986,-0.035953229045788175
4+,1,4+ -> Calc use,131,0.040419623572971304,0.3716634922561927,0.31057325226697796,-0.06109023998921475
