subject_id,subject_name,source_status
SUBJ_DIBUJO_TECNICO_COMPUTARIZADO,Dibujo Técnico Computarizado,catalog_and_or_advisory
SUBJ_DIETETICA,Dietética,catalog_and_or_advisory
SUBJ_DINAMICA_ESTRUCTURAL_PARA_ANALISIS_SISMICO,Dinámica Estructural para Análisis Sísmico,catalog_and_or_advisory
SUBJ_DISENO_DE_ELEMENTOS_DE_ACERO,Diseño de Elementos de Acero,catalog_and_or_advisory
SUBJ_DISENO_DE_ELEMENTOS_DE_CONCRETO_REFORZADO,Diseño de Elementos de Concreto Reforzado,catalog_and_or_advisory
SUBJ_DISENO_DE_ELEMENTOS_DE_MAMPOSTERIA,Diseño de Elementos de Mampostería,catalog_and_or_advisory
SUBJ_DISENO_DE_SISTEMAS_DE_AGUA_Y_SANEAMIENTO,Diseño de Sistemas de Agua y Saneamiento,catalog_and_or_advisory
SUBJ_DISENO_ESTRUCTURAL_EN_ACERO,Diseño Estructural en Acero,catalog_and_or_advisory
SUBJ_DISENO_ESTRUCTURAL_EN_CONCRETO_REFORZADO,Diseño Estructural en Concreto Reforzado,catalog_and_or_advisory
SUBJ_DISENO_GEOMETRICO_DE_CARRETERAS,Diseño Geométrico de Carreteras,catalog_and_or_advisory
SUBJ_DISENO_GEOTECNICO,Diseño Geotécnico,catalog_and_or_advisory
SUBJ_DISENO_GEOTECNICO_AVANZADO,Diseño Geotécnico Avanzado,catalog_and_or_advisory
SUBJ_DISENO_Y_CONSERVACION_DE_PAVIMENTOS,Diseño y Conservación de Pavimentos,catalog_and_or_advisory
SUBJ_DISENO_Y_METODO_DE_INVESTIGACION_BIOLOGICA,Diseño y Método de Investigación Biológica,catalog_and_or_advisory
SUBJ_ECOLOGIA_DE_COMUNIDADES_Y_ECOSISTEMAS,Ecología de Comunidades y Ecosistemas,catalog_and_or_advisory
SUBJ_ECONOMETRIA,Econometría,catalog_and_or_advisory
SUBJ_ECONOMETRIA_DE_SERIES_DE_TIEMPO,Econometría de Series de Tiempo,catalog_and_or_advisory
SUBJ_ECONOMETRIA_I,Econometría I,catalog_and_or_advisory
SUBJ_ECONOMETRIA_II,Econometría II,catalog_and_or_advisory
SUBJ_ECUACIONES_DIFERENCIALES_ORDINARIAS,Ecuaciones Diferenciales Ordinarias,catalog_and_or_advisory
SUBJ_ECUACIONES_DIFERENCIALES_PARCIALES,Ecuaciones Diferenciales Parciales,catalog_and_or_advisory
SUBJ_ELABORACION_DE_PLANES_DE_ALIMENTACION,Elaboración de Planes de Alimentación,catalog_and_or_advisory
SUBJ_EMBRIOLOGIA_Y_GENETICA,Embriología y Genética,catalog_and_or_advisory
SUBJ_ENDODONCIA,Endodoncia,catalog_and_or_advisory
SUBJ_ENFERMERIA_COMUNITARIA,Enfermería Comunitaria,catalog_and_or_advisory
SUBJ_ENFERMERIA_EN_SALUD_MENTAL,Enfermería en Salud Mental,catalog_and_or_advisory
SUBJ_ENFERMERIA_MATERNO_INFANTIL,Enfermería Materno-Infantil,catalog_and_or_advisory
SUBJ_ENFERMERIA_MEDICO_QUIRURGICA_I,Enfermería Médico-Quirúrgica I,catalog_and_or_advisory
SUBJ_ENFERMERIA_MEDICO_QUIRURGICA_II,Enfermería Médico-Quirúrgica II,catalog_and_or_advisory
SUBJ_ENFERMERIA_PEDIATRICA,Enfermería Pediátrica,catalog_and_or_advisory
SUBJ_EQUILIBRIO_DE_CUERPOS_RIGIDOS,Equilibrio de Cuerpos Rígidos,catalog_and_or_advisory
SUBJ_ERGONOMIA_Y_SEGURIDAD_INDUSTRIAL,Ergonomía y Seguridad Industrial,catalog_and_or_advisory
SUBJ_ESCRITURA_ACADEMICA,Escritura Académica,catalog_and_or_advisory
SUBJ_ESCTRUCTURAS_DE_DATOS,Esctructuras de Datos,catalog_and_or_advisory
SUBJ_ESTADISTICA_APLICADA,Estadística Aplicada,catalog_and_or_advisory
SUBJ_ESTADISTICA_DESCRIPTIVA,Estadística Descriptiva,catalog_and_or_advisory
SUBJ_ESTADISTICA_INFERENCIAL,Estadística Inferencial,catalog_and_or_advisory
SUBJ_ESTADISTICA_PARA_CIENCIAS_DE_LA_SALUD,Estadística para Ciencias de la Salud,catalog_and_or_advisory
SUBJ_ESTADISTICA_PARA_CIENCIAS_SOCIALES,Estadística Para Ciencias Sociales,catalog_and_or_advisory
SUBJ_ESTADISTICA_PARA_NEGOCIOS,Estadística Para Negocios,catalog_and_or_advisory
SUBJ_ETICA_PROFESIONAL,Ética Profesional,catalog_and_or_advisory
SUBJ_ETICA_Y_LEGISLACION_EN_ENFERMERIA,Ética y Legislación en Enfermería,catalog_and_or_advisory
SUBJ_EVALUACION_DEL_ESTADO_DE_NUTRICION,Evaluación del Estado de Nutrición,catalog_and_or_advisory
SUBJ_EVALUACION_DE_PROYECTOS,Evaluación de Proyectos,catalog_and_or_advisory
SUBJ_EXTRAS,Extras,catalog_and_or_advisory
SUBJ_FARMACOLOGIA,Farmacología,catalog_and_or_advisory
SUBJ_FARMACOLOGIA_CLINICA,Farmacología Clínica,catalog_and_or_advisory
SUBJ_FISICA,Física,catalog_and_or_advisory
SUBJ_FISICA_ATOMICA_MOLECULAR_Y_NUCLEAR,"Física Atómica, Molecular y Nuclear",catalog_and_or_advisory
SUBJ_FISICA_COMPUTACIONAL,Física Computacional,catalog_and_or_advisory
SUBJ_FISICA_DEL_ESTADO_SOLIDO,Física del Estado Sólido,catalog_and_or_advisory
SUBJ_FISICA_DE_PARTICULAS,Física de Partículas,catalog_and_or_advisory
SUBJ_FISICA_GENERAL,Física General,catalog_and_or_advisory
SUBJ_FISICA_GENERAL_I,Física General I,catalog_and_or_advisory
SUBJ_FISICA_GENERAL_II,Física General II,catalog_and_or_advisory
SUBJ_FISICA_MODERNA,Física Moderna,catalog_and_or_advisory
SUBJ_FISICA_MODERNA_EXPERIMENTAL,Física Moderna Experimental,catalog_and_or_advisory
SUBJ_FISICOQUIMICA,Fisicoquímica,catalog_and_or_advisory
SUBJ_FISICOQUIMICA_DE_SUPERFICIES,Fisicoquímica de Superficies,catalog_and_or_advisory
SUBJ_FISIOLOGIA,Fisiología,catalog_and_or_advisory
SUBJ_FISIOLOGIA_ANIMAL,Fisiología Animal,catalog_and_or_advisory
SUBJ_FISIOPATOLOGIA,Fisiopatología,catalog_and_or_advisory
SUBJ_FUNDAMENTOS_DE_ENFERMERIA,Fundamentos de Enfermería,catalog_and_or_advisory
SUBJ_GENETICA,Genética,catalog_and_or_advisory
SUBJ_GENETICA_EVOLUTIVA_Y_POBLACIONAL,Genética Evolutiva y Poblacional,catalog_and_or_advisory
SUBJ_GEOLOGIA_Y_SUELOS_EN_LA_CONSTRUCCION,Geología y Suelos en la Construcción,catalog_and_or_advisory
SUBJ_GEOMATRIA_ANALITICA,Geomatría Analítica,catalog_and_or_advisory
SUBJ_GEOMETRIA_ANALITICA,Geometría Analítica,catalog_and_or_advisory
SUBJ_GESTION_DE_LA_CALIDAD_TOTAL,Gestión de la Calidad Total,catalog_and_or_advisory
SUBJ_GESTION_DE_PROYECTOS,Gestión de Proyectos,catalog_and_or_advisory
SUBJ_HERRAMIENTAS_DE_PROGRAMACION_ACTUARIAL,Herramientas de Programación Actuarial,catalog_and_or_advisory
SUBJ_HERRAMIENTAS_Y_PROGRAMACION_ACTUARIAL,Herramientas y Programación Actuarial,catalog_and_or_advisory
SUBJ_HIDRAULICA_GENERAL,Hidráulica General,catalog_and_or_advisory
SUBJ_HIDROLOGIA_Y_MODELOS_GEOGRAFICOS,Hidrología y Modelos Geográficos,catalog_and_or_advisory
SUBJ_HISTOLOGIA,Histología,catalog_and_or_advisory
SUBJ_INGENIERIA_DE_METODOS,Ingeniería de Métodos,catalog_and_or_advisory
SUBJ_INGENIERIA_DE_SISTEMAS,Ingeniería de Sistemas,catalog_and_or_advisory
SUBJ_INGENIERIA_ECONOMICA,Ingeniería Económica,catalog_and_or_advisory
SUBJ_INGENIERIA_MOLECULAR_Y_SIMULACION,Ingeniería Molecular y Simulación,catalog_and_or_advisory
SUBJ_INMUNOLOGIA_CLINICA,Inmunología Clínica,catalog_and_or_advisory
SUBJ_INSTALACIONES_BASICAS,Instalaciones Básicas,catalog_and_or_advisory
SUBJ_INTELIGENCIA_ARTIFICIAL,Inteligencia Artificial,catalog_and_or_advisory
