course_code,subject_id,catalog_name,course_code_ambiguous
LBI4053,SUBJ_ECOLOGIA_DE_COMUNIDADES_Y_ECOSISTEMAS,Ecología de Comunidades y Ecosistemas,False
LBI4063,SUBJ_PERSPECTIVAS_DISCIPLINARES,Perspectivas Disciplinares,False
LBI4073,SUBJ_PRACTICAS_EN_LA_PROFESION_2,Prácticas en la Profesión 2,False
LBI4083,SUBJ_PROCESOS_DE_INVESTIGACION_BIOLOGICA_Y_ANALISIS,Procesos de Investigación Biológica y Análisis,False
LBI4093,SUBJ_BIOLOGIA_DE_LA_CONSERVACION,Biología de la Conservación,False
LBI4103,SUBJ_BIOINFORMATICA,Bioinformática,False
LBI4113,SUBJ_BIOLOGIA_DEL_DESARROLLO,Biología del Desarrollo,False
LBI4123,SUBJ_LABORATORIO_DE_BIOLOGIA_DEL_DESARROLLO,Laboratorio de Biología del Desarrollo,False
LBI4133,SUBJ_TOPICOS_DE_VANGUARDIA,Tópicos de Vanguardia,False
LCN1012,SUBJ_DIETETICA,Dietética,False
LCN2012,SUBJ_EVALUACION_DEL_ESTADO_DE_NUTRICION,Evaluación del Estado de Nutrición,False
LCN2022,SUBJ_ELABORACION_DE_PLANES_DE_ALIMENTACION,Elaboración de Planes de Alimentación,False
LCN2032,SUBJ_NUTRICION_EN_EL_CICLO_DE_LA_VIDA,Nutrición en el Ciclo de la Vida,False
LDS1011,SUBJ_ANALISIS_DISCRETO,Análisis Discreto,False
LDS1021,SUBJ_MINERIA_DE_DATOS,Minería de Datos,False
LDS1041,SUBJ_ANALISIS_TOPOLOGICO_DE_DATOS,Análisis Topológico de Datos,False
LDS1051,SUBJ_RECONOCIMIENTO_DE_PATRONES,Reconocimiento de Patrones,False
LDS1061,SUBJ_TEMAS_SELECTOS_1_CIENCIA_DE_DATOS,Temas Selectos 1 (Ciencia de Datos),False
LDS1071,SUBJ_APRENDIZAJE_DE_MAQUINA,Aprendizaje de Máquina,False
LDS1081,SUBJ_REDES_NEURONALES,Redes Neuronales,False
LDS1101,SUBJ_PROGRAMACION_CONCURRENTE,Programación Concurrente,False
LDS1111,SUBJ_TEMAS_SELECTOS_2_CIENCIA_DE_DATOS,Temas Selectos 2 (Ciencia de Datos),False
LDS1121,SUBJ_TEMAS_SELECTOS_3_CIENCIA_DE_DATOS,Temas Selectos 3 (Ciencia de Datos),False
LDS1131,SUBJ_VISUALIZACION_DE_DATOS,Visualización de Datos,False
LDS2013,SUBJ_REPRESENTACION_DE_DATOS,Representación de Datos,False
LDS2023,SUBJ_ANALISIS_DISCRETO_I,Análisis Discreto I,False
LDS2033,SUBJ_ANALISIS_DISCRETO_II,Análisis Discreto II,False
LDS3013,SUBJ_PRACTICAS_EN_LA_PROFESION_1,Prácticas en la Profesión 1,False
LDS3023,SUBJ_RECONOCIMIENTO_DE_PATRONES,Reconocimiento de Patrones,False
LDS3033,SUBJ_TEMAS_SELECTOS,Temas Selectos,False
LDS3043,SUBJ_INTELIGENCIA_COMPUTACIONAL,Inteligencia Computacional,False
LDS4013,SUBJ_MINERIA_DE_DATOS,Minería de Datos,False
LDS4023,SUBJ_ANALISIS_TOPOLOGICO_DE_DATOS,Análisis Topológico de Datos,False
LDS4033,SUBJ_PROGRAMACION_CONCURRENTE,Programación Concurrente,False
LDS4043,SUBJ_PERSPECTIVAS_DISCIPLINARES,Perspectivas Disciplinares,False
LDS4053,SUBJ_PRACTICAS_EN_LA_PROFESION_2,Prácticas en la Profesión 2,False
LDS4063,SUBJ_VISUALIZACION_DE_DATOS,Visualización de Datos,False
LDS4073,SUBJ_SEGURIDAD_DE_DATOS,Seguridad de Datos,False
LDS4083,SUBJ_TOPICOS_DE_VANGUARDIA,Tópicos de Vanguardia,False
LDS4093,SUBJ_APRENDIZAJE_ESTADISTICO,Aprendizaje Estadístico,False
LEC3043,SUBJ_ECONOMETRIA,Econometría,False
LEC3092,SUBJ_ECONOMETRIA_I,Econometría I,False
LEC3103,SUBJ_ECONOMETRIA_DE_SERIES_DE_TIEMPO,Econometría de Series de Tiempo,False
LEC4032,SUBJ_ECONOMETRIA_II,Econometría II,False
