state,n,first_cmat_use_rate,mean_first_cmat_visits,eventual_mu_pass_rate,observed_later_calc_rate,later_calc_cmat_use_rate
lower_strain,3679,0.18755096493612394,0.5120956781734167,0.9975536830660505,0.7752106550693123,0.23597475455820477
adverse_or_nonnumeric,1101,0.16167120799273388,0.3823796548592189,0.44232515894641233,0.19709355131698456,0.15207373271889402
contextual_challenge,1012,0.2855731225296443,1.0602766798418972,0.9772727272727273,0.7628458498023716,0.30569948186528495
individual_strain,673,0.0950965824665676,0.2526002971768202,0.5854383358098069,0.42199108469539376,0.13732394366197184
compounded_strain,162,0.08024691358024691,0.14814814814814814,0.30864197530864196,0.16049382716049382,0.15384615384615385
