population,group,n,mean_z,sd_z,se_z,ci95_low,ci95_high
First eligible MU attempt with CMAT coverage,0,5393,-0.06082003786685221,1.016716381449011,0.013844733835647816,-0.08795571618472192,-0.03368435954898249
First eligible MU attempt with CMAT coverage,1,517,0.21892631231273862,0.8491592279104305,0.03734598014213145,0.14572819123416098,0.2921244333913163
First eligible MU attempt with CMAT coverage,2,245,0.2466360152760336,0.737776139189532,0.04713478855443257,0.15425182970934576,0.33902020084272144
First eligible MU attempt with CMAT coverage,3,170,0.2777937780423757,0.7969659526256655,0.061124498296727746,0.15798976138078932,0.39759779470396206
First eligible MU attempt with CMAT coverage,4+,302,0.354856936226544,0.6825255164683951,0.03927493010226641,0.27787807322610186,0.4318357992269862
