performance_cut,difficulty_quantile,difficulty_pass_rate_cut,state,n,first_cmat_use_rate,mean_first_cmat_visits,eventual_mu_pass_rate,observed_later_calc_rate
-0.75,0.2,0.603448275862069,adverse_or_nonnumeric,1101,0.16167120799273388,0.3823796548592189,0.44232515894641233,0.19709355131698456
-0.75,0.2,0.603448275862069,compounded_strain,102,0.058823529411764705,0.09803921568627451,0.2549019607843137,0.12745098039215685
-0.75,0.2,0.603448275862069,contextual_challenge,810,0.2765432098765432,1.0641975308641975,0.9691358024691358,0.7222222222222222
-0.75,0.2,0.603448275862069,individual_strain,563,0.08170515097690942,0.2113676731793961,0.4866785079928952,0.3321492007104796
-0.75,0.2,0.603448275862069,lower_strain,4051,0.19254505060478894,0.533201678597877,0.9918538632436436,0.7773389286595902
-0.75,0.25,0.6206896551724138,adverse_or_nonnumeric,1101,0.16167120799273388,0.3823796548592189,0.44232515894641233,0.19709355131698456
-0.75,0.25,0.6206896551724138,compounded_strain,136,0.0661764705882353,0.125,0.25,0.125
-0.75,0.25,0.6206896551724138,contextual_challenge,1038,0.28227360308285165,1.0404624277456647,0.9682080924855492,0.7524084778420038
-0.75,0.25,0.6206896551724138,individual_strain,529,0.08128544423440454,0.21172022684310018,0.502835538752363,0.34593572778827975
-0.75,0.25,0.6206896551724138,lower_strain,3823,0.18597959717499346,0.507978027726916,0.9934606330107245,0.7724300287732148
-0.75,0.3333333333333333,0.6666666666666666,adverse_or_nonnumeric,1101,0.16167120799273388,0.3823796548592189,0.44232515894641233,0.19709355131698456
-0.75,0.3333333333333333,0.6666666666666666,compounded_strain,201,0.06467661691542288,0.15422885572139303,0.2835820895522388,0.15920398009950248
-0.75,0.3333333333333333,0.6666666666666666,contextual_challenge,1465,0.2744027303754266,0.9767918088737202,0.9754266211604096,0.7590443686006826
-0.75,0.3333333333333333,0.6666666666666666,individual_strain,464,0.08405172413793104,0.21120689655172414,0.5237068965517241,0.3620689655172414
-0.75,0.3333333333333333,0.6666666666666666,lower_strain,3396,0.1772673733804476,0.46849234393404005,0.9935217903415783,0.7720848056537103
-0.5,0.2,0.603448275862069,adverse_or_nonnumeric,1101,0.16167120799273388,0.3823796548592189,0.44232515894641233,0.19709355131698456
-0.5,0.2,0.603448275862069,compounded_strain,125,0.08,0.136,0.32,0.168
-0.5,0.2,0.6034448275862069,contextual_challenge,787,0.2795425667090216,1.0864040660736975,0.9796696315120712,0.7331639135959339
-0.5,0.2,0.603448275862069,individual_strain,710,0.09436619718309859,0.24929577464788732,0.5690140845070423,0.4070422535211268
-0.5,0.2,0.603448275862069,lower_strain,3904,0.19441598360655737,0.538422131147541,0.9959016393442623,0.7804815573770492
-0.5,0.25,0.6206896551724138,adverse_or_nonnumeric,1101,0.16167120799273388,0.3823796548592189,0.44232515894641233,0.19709355131698456
-0.5,0.25,0.6206896551724138,compounded_strain,162,0.08024691358024691,0.14814814814814814,0.30864197530864196,0.16049382716049382
-0.5,0.25,0.6206896551724138,contextual_challenge,1012,0.2855731225296443,1.0602766798418972,0.9772727272727273,0.7628458498023716
-0.5,0.25,0.6206896551724138,individual_strain,673,0.0950965824665676,0.2526002971768202,0.5854383358098069,0.42199108469539376
-0.5,0.25,0.6206896551724138,lower_strain,3679,0.18755096493612394,0.5120956781734167,0.9975536830660505,0.7752106550693123
