model,term,risk_difference,cluster_se,p_value,ci95_low,ci95_high,n,professors,r2,joint_mu_group_stat,joint_mu_group_p,covariance,note
familiarization_only,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.1-2]",0.25357089486447615,0.029333980450316932,5.414960120723499e-18,0.19607734965865292,0.3110644400702994,3389,48,0.11383813433842904,368.2229161862115,1.6888062568968244e-79,cluster-robust by CALC_PROFESSOR,"risk-difference association; prior familiarity is observational, not randomized"
familiarization_only,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.3]",0.3628743224430566,0.04220788106462649,8.160490807352242e-18,0.2801483956926386,0.44560024919347463,3389,48,0.11383813433842904,368.2229161862115,1.6888062568968244e-79,cluster-robust by CALC_PROFESSOR,"risk-difference association; prior familiarity is observational, not randomized"
familiarization_only,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.4+]",0.48610432627007416,0.028761438882580263,4.4045441723028315e-64,0.4297329419166669,0.5424757106234814,3389,48,0.11383813433842904,368.2229161862115,1.6888062568968244e-79,cluster-robust by CALC_PROFESSOR,"risk-difference association; prior familiarity is observational, not randomized"
adjusted_prior_performance_career_period,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.1-2]",0.23170303591294356,0.02714501736108478,1.3925120541891013e-17,0.1784997795255029,0.2849062923003842,3389,48,0.1661403371486836,448.16949897895023,8.125626313393714e-97,cluster-robust by CALC_PROFESSOR,"risk-difference association; prior familiarity is observational, not randomized"
adjusted_prior_performance_career_period,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.3]",0.31307276253658756,0.039187438149597346,1.3591614117786087e-15,0.23626679511698584,0.3898787299561893,3389,48,0.1661403371486836,448.16949897895023,8.125626313393714e-97,cluster-robust by CALC_PROFESSOR,"risk-difference association; prior familiarity is observational, not randomized"
adjusted_prior_performance_career_period,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.4+]",0.4629140089556511,0.025346082317517324,1.609127787219175e-74,0.41323660046412963,0.5125914174471725,3389,48,0.1661403371486836,448.16949897895023,8.125626313393714e-97,cluster-robust by CALC_PROFESSOR,"risk-difference association; prior familiarity is observational, not randomized"
plus_calc_professor_fixed_effects,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.1-2]",0.22882832922270055,0.025033030325873874,6.184549646589482e-20,0.1797644913600888,0.27789216708531234,3389,48,0.21589284754370164,477.6367424951602,3.348841044630188e-103,cluster-robust by CALC_PROFESSOR,"risk-difference association; prior familiarity is observational, not randomized"
plus_calc_professor_fixed_effects,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.3]",0.3191479592204165,0.03990739563655703,1.2726655731538119e-15,0.2409309010559738,0.3973650173848592,3389,48,0.21589284754370164,477.6367424951602,3.348841044630188e-103,cluster-robust by CALC_PROFESSOR,"risk-difference association; prior familiarity is observational, not randomized"
plus_calc_professor_fixed_effects,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.4+]",0.46813685860078624,0.02514760106482096,2.403018384820198e-77,0.41884846621615607,0.5174252509854165,3389,48,0.21589284754370164,477.6367424951602,3.348841044630188e-103,cluster-robust by CALC_PROFESSOR,"risk-difference association; prior familiarity is observational, not randomized"
