population,model,group1,group2,adjusted_mean_difference_group1_minus_group2,cluster_robust_se,ci95_low,ci95_high,p_raw,p_holm_10_pairwise,reject_holm_0_05,n,n_classrooms
First eligible MU attempt with CMAT coverage,classroom_FE_plus_official_career,0,1,-0.3047272143064583,0.04269913801050091,-0.3884159869779454,-0.22103844163497127,9.565882018729266e-13,7.652705614983413e-12,True,6627,190
First eligible MU attempt with CMAT coverage,classroom_FE_plus_official_career,0,2,-0.35947795150457523,0.049780037484473634,-0.4570450321231974,-0.26191087088595305,5.148251459868744e-13,4.633426313881869e-12,True,6627,190
First eligible MU attempt with CMAT coverage,classroom_FE_plus_official_career,0,3,-0.37318865422740555,0.06388739827412482,-0.4984056539106566,-0.24797165454415449,5.1779487283632335e-09,3.6245641098542636e-08,True,6627,190
First eligible MU attempt with CMAT coverage,classroom_FE_plus_official_career,0,4+,-0.46072188682164367,0.05658660366118548,-0.5716295920050096,-0.34981418163827777,3.89155623665229e-16,3.89155623665229e-15,True,6627,190
First eligible MU attempt with CMAT coverage,classroom_FE_plus_official_career,1,2,-0.054750737198116906,0.06336200546454417,-0.17893798589685356,0.06943651150061976,0.3875361815353282,1.0,False,6627,190
First eligible MU attempt with CMAT coverage,classroom_FE_plus_official_career,1,3,-0.06846143992094722,0.07160502011178305,-0.20880470045230823,0.07188182061041379,0.33902256004885345,1.0,False,6627,190
First eligible MU attempt with CMAT coverage,classroom_FE_plus_official_career,1,4+,-0.15599467251518534,0.06983128463959322,-0.29286147540295315,-0.019127869627417554,0.02549100530394805,0.15294603182368832,False,6627,190
First eligible MU attempt with CMAT coverage,classroom_FE_plus_official_career,2,3,-0.013710702722830315,0.06706396228753331,-0.145153653466948,0.11773224802128737,0.838007970446324,1.0,False,6627,190
First eligible MU attempt with CMAT coverage,classroom_FE_plus_official_career,2,4+,-0.10124393531706843,0.07155295053120617,-0.24148514134580865,0.03899727071167178,0.1570827960342093,0.7854139801710465,False,6627,190
First eligible MU attempt with CMAT coverage,classroom_FE_plus_official_career,3,4+,-0.08753323259423812,0.07204663082923746,-0.22874203422699665,0.053675569038520415,0.224384217180562,0.897536868722248,False,6627,190
