mu_visit_group,risk_difference_per_1sd_professor_propensity,cluster_se,p_value,ci95_low,ci95_high,interaction_term
0,0.04059392576905702,0.012611109043863242,0.00128682397405918,0.015876606237977712,0.06531124530013634,
1-2,0.08858127964574851,0.029294477410810628,0.002496034077008829,0.031165158974637508,0.1459974003168595,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.1-2]:_CALC_PROF_LEAVE_PERIOD_OUT_Z"
3,0.08976018489889837,0.026976740639438966,0.0008768636121202221,0.036886744825319964,0.14263362497247678,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.3]:_CALC_PROF_LEAVE_PERIOD_OUT_Z"
4+,0.09915809887784144,0.02719440835070135,0.0002660765577751767,0.0458580379295915,0.15245815982609137,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.4+]:_CALC_PROF_LEAVE_PERIOD_OUT_Z"
