min_career_n,n,clusters,career_levels,interaction_df,interaction_df_per_cluster,r2_base,r2_full,delta_r2,partial_r2,wald_stat,p_value
100,6627,190,23,88,0.4631578947368421,0.07754393152452366,0.08876629939061298,0.011222367866089322,0.012165747778792644,472.74050222926405,5.197073842220793e-54
150,6627,190,20,76,0.4,0.07663120815992852,0.08529938609985077,0.00866817793992225,0.0093875578387791,272.3613667727052,6.563244092277686e-24
200,6627,190,14,52,0.2736842105263158,0.07600492088284694,0.082038069532122,0.006033148649275066,0.006529416428320746,165.28865765343667,1.0024310226105256e-13
