measure,classrooms,mean,sd,min,p10,p25,median,p75,p90,max
MU_CLASSROOM_ATTEMPT_N,227,39.55506607929515,16.779156590922376,13.0,26.0,29.0,32.0,54.0,64.0,95.0
MU_CLASSROOM_MEAN_GRADE,227,8.245076687339408,0.7636013186953451,5.56875,7.285263157894737,7.749204545454546,8.264583333333333,8.806197478991596,9.163333333333334,9.692307692307692
MU_CLASSROOM_PASS_RATE,227,0.7268924247236441,0.15788549079453906,0.27586206896551724,0.5,0.6260593220338984,0.75,0.8521554341226472,0.9285714285714286,1.0
MU_CLASSROOM_FAIL_RATE,227,0.27310757527635576,0.15788549079453906,0.0,0.0714285714285714,0.14784456587735278,0.25,0.3739406779661017,0.5,0.7241379310344828
