term,risk_difference,cluster_se,p_value,ci95_low,ci95_high,n,professors,covariance
"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.1-2]",0.19585482524420592,0.022935924979677117,1.3513516822347308e-17,0.1509012383319262,0.24080841215648563,2649,30,cluster-robust by CALC_PROFESSOR
"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.3]",0.3217618380403807,0.047246814030337814,9.74404268338294e-12,0.2291597841566569,0.41436389192410455,2649,30,cluster-robust by CALC_PROFESSOR
"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.4+]",0.4706754393556465,0.0213447360420166,9.317882653641507e-108,0.42884052545377993,0.512510353257513,2649,30,cluster-robust by CALC_PROFESSOR
_CALC_PROF_LEAVE_PERIOD_OUT_Z,0.04059392576905702,0.012611109043863242,0.00128682397405918,0.015876606237977712,0.06531124530013634,2649,30,cluster-robust by CALC_PROFESSOR
"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.1-2]:_CALC_PROF_LEAVE_PERIOD_OUT_Z",0.04798735387669149,0.023489191368568276,0.04105692278786693,0.0019493847683285659,0.09402532298505441,2649,30,cluster-robust by CALC_PROFESSOR
"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.3]:_CALC_PROF_LEAVE_PERIOD_OUT_Z",0.04916625912984135,0.023488716057660876,0.03633252543170744,0.003129221613738388,0.09520329664594432,2649,30,cluster-robust by CALC_PROFESSOR
"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.4+]:_CALC_PROF_LEAVE_PERIOD_OUT_Z",0.05856417310878442,0.03360840821640301,0.08141307547998299,-0.0073070965730855225,0.12443544279065437,2649,30,cluster-robust by CALC_PROFESSOR
