population,group1,group2,n1,n2,mean1,mean2,mean_diff_group1_minus_group2,games_howell_ci95_low,games_howell_ci95_high,games_howell_q,games_howell_df,games_howell_p,welch_t_reference,welch_p_reference
First eligible MU attempt with CMAT coverage,0,1,5393,517,-0.06082003786685221,0.21892631231273862,-0.2797463501795908,-0.3886907801145263,-0.17080192024465538,9.932835167057947,666.3690174241938,5.35247401955985e-11,-7.023575103034887,5.349393806917071e-12
First eligible MU attempt with CMAT coverage,0,2,5393,245,-0.06082003786685221,0.2466360152760336,-0.3074560531428858,-0.44231429886788404,-0.1725978074178876,8.850881889516419,287.8215551372585,1.4036191875455017e-08,-6.258518603558263,1.4061325646661356e-09
First eligible MU attempt with CMAT coverage,0,3,5393,170,-0.06082003786685221,0.2777937780423757,-0.3386138159092279,-0.5112530208480948,-0.16597461097036098,7.640829587861573,186.7696401413638,1.9631365173466975e-06,-5.402882415467731,1.9813651729519174e-07
First eligible MU attempt with CMAT coverage,0,4+,5393,302,-0.06082003786685221,0.354856936226544,-0.4156769740933962,-0.5298188707133893,-0.30153507747340313,14.116329170272802,380.12582836346655,1.4410694859634532e-13,-9.98175208176137,5.41790117053303e-21
First eligible MU attempt with CMAT coverage,1,2,517,245,0.21892631231273862,0.2466360152760336,-0.027709702963294974,-0.19229954937032695,0.136880143443737,0.6516404065060881,544.9580327443299,0.9907156680098231,-0.4607793503356133,0.6451407425884571
First eligible MU attempt with CMAT coverage,1,3,517,170,0.21892631231273862,0.2777937780423757,-0.05886746572963708,-0.255434205877446,0.1376992744181718,1.1622309586969322,304.8138058832525,0.9237765854928235,-0.821821392199543,0.4118209085175384
First eligible MU attempt with CMAT coverage,1,4+,517,302,0.21892631231273862,0.354856936226544,-0.1359306239138054,-0.2841318219811907,0.012270574153579933,3.5470100268797005,738.979251525768,0.08989151928066308,-2.508114842943314,0.012350937890216254
First eligible MU attempt with CMAT coverage,2,3,245,170,0.2466360152760336,0.2777937780423757,-0.031157762766342106,-0.2428249743354137,0.18050944880272948,0.5708669882803901,345.20236735418666,0.994394977016241,-0.4036639185686052,0.6867098078240346
First eligible MU attempt with CMAT coverage,2,4+,245,302,0.2466360152760336,0.354856936226544,-0.10822092095051042,-0.2761865875273325,0.05974474562631163,2.4945337949351236,503.6354296075244,0.39596432036517937,-1.7639017622976385,0.07835474770290199
First eligible MU attempt with CMAT coverage,3,4+,170,302,0.2777937780423757,0.354856936226544,-0.07706315818416831,-0.2764289407007472,0.1223026243324106,1.5000208848790468,307.8867730525464,0.8264627852266457,-1.0606749396194197,0.28966898268952024
