visit_group_share,professors,min,p10,p25,median,p75,p90,max,sd
0,42,0.47619047619047616,0.6529483282674773,0.7413853115210581,0.8040138275398503,0.8555004874878128,0.8949736842105264,0.9545454545454546,0.10853098539973434
1_2,42,0.037037037037037035,0.06160204081632653,0.08455882352941177,0.12318090902820883,0.1524992734670154,0.19787234042553192,0.2857142857142857,0.05863176696839709
3,42,0.0,0.006296296296296296,0.011142322097378277,0.025158227848101268,0.041385135135135136,0.06126984126984126,0.16666666666666666,0.029196544096432717
4plus,42,0.0,0.009729114971050456,0.02098794063079777,0.04432166973603438,0.06694599627560521,0.09435626102292767,0.23333333333333334,0.054379320755619395
