mu_attempt_outcome_profile,n,share,mean_first_cmat_visits,any_first_cmat_rate,mean_cumulative_cmat_visits,mean_distinct_mu_professors
pass_first,4906,0.740304813641165,0.6218915613534448,0.20729718711781492,0.6218915613534448,1.0
no_observed_pass,1037,0.1564810623208088,0.14368370298939248,0.07135969141755062,0.16200578592092574,1.2430086788813886
pass_second,565,0.08525728082088427,0.5946902654867257,0.23008849557522124,0.904424778761062,1.9787610619469027
pass_third_or_later,119,0.017956843217141995,0.3025210084033613,0.1092436974789916,0.42857142857142855,3.0756302521008405
