failed_attempt_number,context_definition,n_comparable,mean_change,median_change,share_moving_higher
1,absolute_prior_mean_grade,387,0.39915937672140017,0.4109525155455058,0.6692506459948321
1,absolute_prior_pass_rate,456,0.09261350249187897,0.09908537468852524,0.6754385964912281
1,within_period_percentile,387,0.1341379027339844,0.13677536231884058,0.6227390180878553
2,absolute_prior_mean_grade,85,0.24703168034177858,0.29422601783220514,0.5882352941176471
2,absolute_prior_pass_rate,93,0.053538010171687016,0.06557377049180324,0.6236559139784946
2,within_period_percentile,85,0.06149630532131941,0.07309491978609628,0.6
3,absolute_prior_mean_grade,22,0.31107605624163176,0.1981868008948533,0.6818181818181818
3,absolute_prior_pass_rate,26,0.08332867943468501,0.04573132896111748,0.6538461538461539
3,within_period_percentile,22,0.08550791886988182,0.07471530017969649,0.6363636363636364
4,absolute_prior_mean_grade,7,-0.06734854824484973,0.024540540540538558,0.5714285714285714
4,absolute_prior_pass_rate,8,-0.07214178271729753,-0.08148533749783105,0.25
4,within_period_percentile,7,-0.052194191753928657,-0.19852941176470584,0.42857142857142855
5,absolute_prior_mean_grade,1,0.5641550522648071,0.5641550522648071,1.0
5,absolute_prior_pass_rate,1,0.20218579234972678,0.20218579234972678,1.0
5,within_period_percentile,1,0.3713768115942029,0.3713768115942029,1.0
