career,n_mu,first_attempt_fail_rate,eventual_mu_pass_rate,first_cmat_use_rate,mean_first_cmat_visits,mean_cumulative_mu_cmat_visits,n_later_calc,n_rankable_calc_choice,mean_chosen_easiness_percentile,top_quartile_easiness_choice_rate,calc_cmat_use_rate
LAD,562,0.37722419928825623,0.7811387900355872,0.20818505338078291,0.5231316725978647,0.6263345195729537,356,270,0.5388849319404876,0.25555555555555554,0.14606741573033707
LNI,550,0.19636363636363635,0.8981818181818182,0.19818181818181818,0.5818181818181818,0.6145454545454545,404,304,0.5632498212679135,0.29276315789473684,0.22772277227722773
LAR,445,0.2651685393258427,0.8674157303370786,0.09662921348314607,0.23370786516853934,0.30112359550561796,8,7,0.4122732426303855,0.0,0.375
LAT,368,0.21195652173913043,0.8994565217391305,0.30434782608695654,0.9184782608695652,0.9782608695652174,287,210,0.5316567096924241,0.2523809523809524,0.4076655052264808
LII,361,0.19113573407202217,0.9196675900277008,0.19113573407202217,0.6398891966759003,0.6454293628808865,292,220,0.5402820096570097,0.2863636363636364,0.2671232876712329
LMK,350,0.29714285714285715,0.8428571428571429,0.2,0.5971428571428572,0.6257142857142857,234,188,0.5727643662484088,0.2765957446808511,0.18376068376068377
LFP,343,0.26822157434402333,0.8454810495626822,0.19825072886297376,0.5510204081632653,0.5947521865889213,249,190,0.5457197480881691,0.2789473684210526,0.2248995983935743
LMT,320,0.25,0.871875,0.14375,0.346875,0.3625,225,175,0.5300138670852956,0.21714285714285714,0.2222222222222222
LBN,281,0.21708185053380782,0.8718861209964412,0.1601423487544484,0.5551601423487544,0.5658362989323843,203,162,0.5634440148329036,0.30246913580246915,0.27586206896551724
LIS,271,0.25092250922509224,0.8302583025830258,0.16236162361623616,0.44280442804428044,0.45018450184501846,191,167,0.5309467146293494,0.2215568862275449,0.18324607329842932
LNM,249,0.18875502008032127,0.8433734939759037,0.17269076305220885,0.4939759036144578,0.4939759036144578,191,156,0.5504614954134185,0.27564102564102566,0.2513089005235602
LIC,222,0.22072072072072071,0.8468468468468469,0.14414414414414414,0.43243243243243246,0.44594594594594594,164,123,0.4626688803518071,0.14634146341463414,0.12804878048780488
LIM,201,0.24378109452736318,0.8756218905472637,0.12437810945273632,0.39303482587064675,0.417910447761194,151,105,0.4730122390836677,0.1619047619047619,0.23178807947019867
LBM,199,0.17587939698492464,0.8844221105527639,0.21105527638190955,0.5276381909547738,0.5477386934673367,158,127,0.5800318229452089,0.33858267716535434,0.23417721518987342
LHR,178,0.30337078651685395,0.8146067415730337,0.15168539325842698,0.5337078651685393,0.5393258426966292,11,11,0.5783799533799534,0.2727272727272727,0.2727272727272727
LEC,174,0.2471264367816092,0.8218390804597702,0.16091954022988506,0.5804597701149425,0.5862068965517241,118,80,0.5640890186202686,0.3375,0.3135593220338983
LCN,160,0.34375,0.7625,0.1875,0.4375,0.44375,3,3,0.5007122507122507,0.0,0.0
LBI,152,0.23684210526315788,0.8289473684210527,0.18421052631578946,0.4144736842105263,0.42105263157894735,111,87,0.5853923694440936,0.2988505747126437,0.1981981981981982
LQI,151,0.24503311258278146,0.8741721854304636,0.2251655629139073,0.8013245033112583,0.8675496688741722,114,89,0.5220521051981727,0.2808988764044944,0.24561403508771928
LFA,138,0.2536231884057971,0.8333333333333334,0.2463768115942029,0.6594202898550725,0.6594202898550725,102,82,0.4165268843622502,0.13414634146341464,0.3627450980392157
LFB,131,0.29770992366412213,0.8396946564885496,0.2366412213740458,0.6412213740458015,0.6870229007633588,94,77,0.5392155463584035,0.22077922077922077,0.10638297872340426
LBC,118,0.17796610169491525,0.9152542372881356,0.23728813559322035,0.6440677966101694,0.652542372881356,97,87,0.5965331284296802,0.3333333333333333,0.26804123711340205
LRT,96,0.23958333333333334,0.8229166666666666,0.16666666666666666,1.0,1.0,66,48,0.4818420584045584,0.1875,0.19696969696969696
LDS,87,0.1839080459770115,0.896551724137931,0.26436781609195403,1.0919540229885059,1.1494252873563218,66,58,0.5404882952296746,0.22413793103448276,0.19696969696969696
LCS,86,0.18604651162790697,0.8837209302325582,0.2441860465116279,0.5581395348837209,0.5581395348837209,61,51,0.5384310134310134,0.27450980392156865,0.36065573770491804
LIN,64,0.1875,0.90625,0.203125,0.40625,0.40625,44,34,0.5474709114414997,0.2647058823529412,0.4090909090909091
LNA,53,0.18867924528301888,0.8679245283018868,0.22641509433962265,0.5094339622641509,0.5094339622641509,41,30,0.5113431013431013,0.2,0.1951219512195122
LIY,34,0.29411764705882354,0.7941176470588235,0.14705882352941177,0.14705882352941177,0.14705882352941177,25,23,0.5505288793332271,0.34782608695652173,0.44
LPM,30,0.5333333333333333,0.5,0.23333333333333334,0.6,0.6,12,9,0.6221001221001221,0.5555555555555556,0.08333333333333333
