term,n,mu_classroom_clusters,estimate,se_cluster,p_value,r2
_Z,3056,178,0.012079387727889383,0.007148854609038658,0.09108621753157578,0.0495121641909384
_Z:_PASSCTX,3056,178,0.0024827889726995993,0.0060389175607181616,0.6809761451822134,0.0495121641909384
_PASSCTX,3056,178,0.008117436059197871,0.005993058648310767,0.17558552529132232,0.0495121641909384
