MU_CAREER_OFFICIAL,n,mean_visits,any_use_rate,count_0,share_0,count_1_2,share_1_2,count_3,share_3,count_4plus,share_4plus
LAT,290,0.996551724137931,0.33793103448275863,192,0.6620689655172414,59,0.20344827586206896,16,0.05517241379310345,23,0.07931034482758621
LFA,103,0.7766990291262136,0.2912621359223301,73,0.7087378640776699,18,0.17475728155339806,5,0.04854368932038835,7,0.06796116504854369
LBC,97,0.7525773195876289,0.27835051546391754,70,0.7216494845360825,16,0.16494845360824742,4,0.041237113402061855,7,0.07216494845360824
LDS,71,1.1549295774647887,0.2676056338028169,52,0.7323943661971831,8,0.11267605633802817,2,0.028169014084507043,9,0.1267605633802817
LFB,92,0.6630434782608695,0.2608695652173913,68,0.7391304347826086,14,0.15217391304347827,3,0.03260869565217391,7,0.07608695652173914
LCS,70,0.6,0.2571428571428571,52,0.7428571428571429,12,0.17142857142857143,3,0.04285714285714286,3,0.04285714285714286
LNA,43,0.5813953488372093,0.2558139534883721,32,0.7441860465116279,8,0.18604651162790697,1,0.023255813953488372,2,0.046511627906976744
LQI,114,0.956140350877193,0.2543859649122807,85,0.7456140350877193,16,0.14035087719298245,4,0.03508771929824561,9,0.07894736842105263
LIN,52,0.5,0.25,39,0.75,9,0.17307692307692307,4,0.07692307692307693,0,0.0
LBM,164,0.6219512195121951,0.23780487804878048,125,0.7621951219512195,26,0.15853658536585366,6,0.036585365853658534,7,0.042682926829268296
LAD,350,0.6314285714285715,0.2342857142857143,268,0.7657142857142857,54,0.15428571428571428,6,0.017142857142857144,22,0.06285714285714286
LMK,246,0.7113821138211383,0.21951219512195122,192,0.7804878048780488,31,0.12601626016260162,6,0.024390243902439025,17,0.06910569105691057
LFP,251,0.5697211155378487,0.21115537848605578,198,0.7888446215139442,35,0.1394422310756972,7,0.027888446215139442,11,0.043824701195219126
LNI,442,0.6606334841628959,0.21040723981900453,349,0.7895927601809954,52,0.11764705882352941,13,0.029411764705882353,28,0.06334841628959276
LII,292,0.726027397260274,0.20205479452054795,233,0.797945205479452,37,0.1267123287671233,5,0.017123287671232876,17,0.05821917808219178
LBI,116,0.4482758620689655,0.19827586206896552,93,0.8017241379310345,16,0.13793103448275862,3,0.02586206896551724,4,0.034482758620689655
LIS,203,0.5467980295566502,0.19704433497536947,163,0.8029556650246306,26,0.12807881773399016,5,0.024630541871921183,9,0.04433497536945813
LNM,202,0.5594059405940595,0.19306930693069307,163,0.806930693069307,25,0.12376237623762376,6,0.0297029702970297,8,0.039603960396039604
LRT,73,1.0684931506849316,0.1917808219178082,59,0.8082191780821918,6,0.0821917808219178,3,0.0410958904109589,5,0.0684931506849315
LBN,220,0.6409090909090909,0.19090909090909092,178,0.8090909090909091,22,0.1,4,0.01818181818181818,16,0.07272727272727272
LCN,105,0.47619047619047616,0.19047619047619047,85,0.8095238095238095,15,0.14285714285714285,2,0.01904761904761905,3,0.02857142857142857
LEC,131,0.7175572519083969,0.183206106870229,107,0.816793893129771,14,0.10687022900763359,5,0.03816793893129771,5,0.03816793893129771
LMT,240,0.4083333333333333,0.175,198,0.825,28,0.11666666666666667,5,0.020833333333333332,9,0.0375
LIC,173,0.5260115606936416,0.1676300578034682,144,0.8323699421965318,16,0.09248554913294797,6,0.03468208092485549,7,0.04046242774566474
LHR,124,0.6129032258064516,0.16129032258064516,104,0.8387096774193549,10,0.08064516129032258,3,0.024193548387096774,7,0.056451612903225805
LIM,152,0.40131578947368424,0.125,133,0.875,11,0.07236842105263158,3,0.019736842105263157,5,0.03289473684210526
LAR,327,0.23853211009174313,0.08868501529051988,298,0.9113149847094801,16,0.04892966360856269,6,0.01834862385321101,7,0.021406727828746176
