performance_cut,difficulty_quantile,difficulty_pass_rate_cut,contextual_minus_lower_cmat_pp,contextual_minus_individual_cmat_pp,contextual_minus_compounded_cmat_pp,contextual_highest_of_four_cmat,individual_later_calc_rate,compounded_later_calc_rate
-0.75,0.2,0.603448275862069,0.08399815927175425,0.19483805889963376,0.21771968046477846,True,0.3321492007104796,0.12745098039215685
-0.75,0.25,0.6206896551724138,0.0962940059078582,0.20098815884844712,0.21609713249461637,True,0.34593572778827975,0.125
-0.75,0.3333333333333333,0.6666666666666666,0.09713535699497902,0.19035100623749557,0.20972611346000375,True,0.3620689655172414,0.15920398009950248
-0.5,0.2,0.603448275862069,0.08512658310246424,0.18517636952592303,0.1995425667090216,True,0.4070422535211268,0.168
-0.5,0.25,0.6206896551724138,0.09802215759352034,0.19047654006307668,0.20532620894939738,True,0.42199108469539376,0.16049382716049382
-0.5,0.3333333333333333,0.6666666666666666,0.09611674674444629,0.18315909814136033,0.18392940626460963,True,0.43865546218487395,0.20416666666666666
-0.25,0.2,0.603448275862069,0.08609679620247654,0.15684955473757595,0.16392380790045596,True,0.4948665297741273,0.25806451612903225
-0.25,0.25,0.6206896551724138,0.10039006905276474,0.1622880385976651,0.17577413479052822,True,0.5102040816326531,0.23737373737373738
-0.25,0.3333333333333333,0.6666666666666666,0.09694043076565498,0.15665874490744053,0.14501633986928106,True,0.5212636695018226,0.30392156862745096
