term,n,clusters,estimate,se_cluster,p_value,r2
_Z,5526,190,0.05005129138368398,0.003892302380451259,7.651617481286863e-38,0.08855017634759965
_PASS_CONTEXT,5526,190,-0.046584397324772014,0.008652446480694458,7.286603353330485e-08,0.08855017634759965
_Z:_PASS_CONTEXT,5526,190,-0.018156190735294897,0.0038814358237817016,2.90111154213952e-06,0.08855017634759965
