model,term,n,student_clusters,estimate,se_cluster,p_value,r2
higher_outcome_percentile,_PREV_Z,185,170,0.05308666285604964,0.027790443670535188,0.05610118112632244,0.4918859377105429
higher_outcome_percentile,PREV_ANY_CMAT,185,170,0.18347092974642876,0.08883767509149816,0.03890050016310553,0.4918859377105429
higher_outcome_percentile,_PREV_RANK_10PP,185,170,-0.10846592065015445,0.011126786834458662,1.8780495888445449e-22,0.4918859377105429
next_cmat_use,_PREV_Z,358,305,-0.016161021500699178,0.01633682854775115,0.3225464139262756,0.06529722381248737
next_cmat_use,PREV_ANY_CMAT,358,305,0.12280947535040894,0.07921820587885779,0.12107712652586465,0.06529722381248737
increased_cmat,_PREV_Z,358,305,-0.015345270997587958,0.01630205405718853,0.34654650695579325,0.06832646878532178
increased_cmat,PREV_ANY_CMAT,358,305,-0.023067559950125525,0.04437977996319231,0.6032194663181315,0.06832646878532178
