mu_visit_group,risk_difference_per_1sd_professor_propensity,cluster_se,p_value,ci95_low,ci95_high,interaction_term
0,0.03340570905796842,0.013007011242545352,0.01022031535557157,0.007912435476071952,0.058898982639864886,
1-2,0.08845586166012578,0.029298182403025386,0.002534777323639058,0.031032479337710854,0.1458792439825407,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.1-2]:_CALC_PROF_LEAVE_PERIOD_OUT_Z"
3,0.09929871283258032,0.022607764067811932,1.1218904801263411e-05,0.054988309488690185,0.14360911617647046,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.3]:_CALC_PROF_LEAVE_PERIOD_OUT_Z"
4+,0.09524945160494667,0.031222508732405067,0.0022833428020807853,0.034054458982445406,0.15644444422744794,"C(MU_VISIT_GROUP, Treatment(reference='0'))[T.4+]:_CALC_PROF_LEAVE_PERIOD_OUT_Z"
