group_a,group_b,n_a,n_b,mean_a,mean_b,mean_difference_a_minus_b,df,games_howell_q,p_adjusted,ci95_low,ci95_high,significant_05
LAD,LAR,562,445,-0.26627905485835895,-0.024334687559620594,-0.24194436729873836,968.1196521984086,5.516849375601017,0.028998224827779695,-0.4741131045901739,-0.009775630007302805,True
LAD,LAT,562,368,-0.26627905485835895,0.11367028247240726,-0.3799493373307662,804.2558143895908,8.195063086769192,0.001,-0.6255467882351435,-0.1343518864263888,True
LAD,LBC,562,118,-0.26627905485835895,0.16834546284365012,-0.43462451770200905,197.99759170595627,7.1347733857319255,0.001,-0.7609573472179145,-0.10829168818610352,True
LAD,LBI,562,152,-0.26627905485835895,-0.013095203529201046,-0.2531838513291579,238.3009094513574,3.909913344285398,0.5497285403381686,-0.5992077976922459,0.09284009503393015,False
LAD,LBM,562,199,-0.26627905485835895,0.24645212254046922,-0.5127311773988281,389.0255108134536,9.59837588621694,0.001,-0.7968161728045355,-0.22864618199312076,True
LAD,LBN,562,281,-0.26627905485835895,0.06019957155046157,-0.3264786264088205,565.3608065791108,6.372478347814603,0.002762217004041778,-0.5982933383551197,-0.05466391446252139,True
LAD,LCN,562,160,-0.26627905485835895,-0.06258337886373014,-0.20369567599462882,278.3480173253208,3.4645836236486742,0.7578183665049805,-0.5173103837337333,0.10991903174447568,False
LAD,LCS,562,86,-0.26627905485835895,0.13427155696613866,-0.4005506118244976,112.21143678426618,4.870136102841132,0.14705543210106553,-0.8461387835337961,0.045037559884801015,False
LAD,LDS,562,87,-0.26627905485835895,0.16519137399324457,-0.4314704288516035,115.09439593923658,5.366744062369111,0.05546951047834692,-0.8667583866877429,0.0038175289845358007,False
LAD,LEC,562,174,-0.26627905485835895,0.0982592723335203,-0.3645383271918793,305.3862647081137,6.258274146691284,0.004435060945334857,-0.6749565514178878,-0.054120102965870776,True
LAD,LFA,562,138,-0.26627905485835895,0.02878708228705744,-0.2950661371454164,217.9257560872761,4.585037854306649,0.2267890774827871,-0.6393482479601562,0.0492159736693234,False
LAD,LFB,562,131,-0.26627905485835895,-0.07480022920394803,-0.19147882565441093,195.49751678209913,2.799707704929624,0.9,-0.557930795220742,0.1749731439119201,False
LAD,LFP,562,343,-0.26627905485835895,-0.032261941928111215,-0.23401711293024774,717.0580612149489,4.806407431385558,0.14450606659463394,-0.49204828752967666,0.024014061669181186,False
LAD,LHR,562,178,-0.26627905485835895,-0.1310047931792722,-0.13527426167908677,280.27411361137905,2.1034019045013483,0.9,-0.4783002206237952,0.20775169726562162,False
LAD,LIC,562,222,-0.26627905485835895,0.021469345692512604,-0.2877484005508716,406.6378648795278,5.1554178506744215,0.07264313934237887,-0.5844791241371912,0.008982323035447992,False
LAD,LII,562,361,-0.26627905485835895,0.18254949359558295,-0.44882854845394193,874.9157083073236,10.624512045761954,0.001,-0.6725422603112775,-0.22511483659660636,True
LAD,LIM,562,201,-0.26627905485835895,-0.0041591995166991086,-0.2621198553416598,337.9600936877169,4.353462117181515,0.3211221356842364,-0.5826873483612071,0.05844763767788741,False
LAD,LIN,562,64,-0.26627905485835895,0.04254897173690638,-0.3088280265952653,79.13238423760042,3.414899681221642,0.7714622915021022,-0.8040761161286096,0.18642006293807906,False
LAD,LIS,562,271,-0.26627905485835895,-0.00518103127124314,-0.2610980235871158,508.2674634648877,4.816399909942683,0.14322168856400763,-0.5488796284066779,0.026683581232446296,False
LAD,LIY,562,34,-0.26627905485835895,-0.201574093566915,-0.06470496129144396,35.591521015053985,0.4186299480894381,0.9,-0.9489263871304113,0.8195164645475234,False
LAD,LMK,562,350,-0.26627905485835895,-0.08023953099503012,-0.18603952386332884,738.7325562850726,3.862182983497302,0.5708769216788775,-0.44128899046912623,0.06920994274246856,False
LAD,LMT,562,320,-0.26627905485835895,0.14586794085488472,-0.41214699571324365,721.7320462881293,8.88578762765051,0.001,-0.6579514382419054,-0.16634255318458194,True
LAD,LNA,562,53,-0.26627905485835895,0.049853923511436075,-0.31613297836979504,62.074572642676195,3.096293853098984,0.9,-0.8808464881160059,0.24858053137641578,False
LAD,LNI,562,550,-0.26627905485835895,0.08948634996746929,-0.35576540482582825,1099.3737371676202,8.894668376901356,0.001,-0.5674329927752623,-0.14409781687639425,True
LAD,LNM,562,249,-0.26627905485835895,0.1897160793622633,-0.45599513422062227,506.09387974107835,8.883991758616396,0.001,-0.7284815811457847,-0.18350868729545988,True
LAD,LPM,562,30,-0.26627905485835895,-0.6306420084823933,0.3643629536240343,30.635497915266193,2.012972345318366,0.9,-0.6842241743731878,1.4129500816212563,False
LAD,LQI,562,151,-0.26627905485835895,0.051276834171544314,-0.3175558890299033,230.0550251313045,4.757334956748895,0.16772349355411276,-0.6744059316376332,0.039294153577826674,False
LAD,LRT,562,96,-0.26627905485835895,-0.010004075565431883,-0.2562749792929271,126.204063137431,3.151288714624519,0.8970189877500996,-0.6956040822441888,0.18305412365833462,False
LAR,LAT,445,368,-0.024334687559620594,0.11367028247240726,-0.13800497003202786,781.5106561410779,2.8785567709151803,0.9,-0.3919951898435228,0.11598524977946709,False
LAR,LBC,445,118,-0.024334687559620594,0.16834546284365012,-0.19268015040327072,211.12850329423065,3.1014037318334267,0.9,-0.5251904345547037,0.1398301337481623,False
LAR,LBI,445,152,-0.024334687559620594,-0.013095203529201046,-0.011239484030419548,252.06217984068135,0.17056848354978868,0.9,-0.3631175737435386,0.34063860568269955,False
LAR,LBM,445,199,-0.024334687559620594,0.24645212254046922,-0.2707868101000898,410.77583873433076,4.941834935258356,0.11368462899898402,-0.5620737055624434,0.020500085362263776,False
LAR,LBN,445,281,-0.024334687559620594,0.06019957155046157,-0.08453425911008217,582.80197099768,1.6051009502247695,0.9,-0.3639101344259402,0.1948416162057759,False
LAR,LCN,445,160,-0.024334687559620594,-0.06258337886373014,0.038248691304109544,295.85520798095405,0.6369804875406166,0.9,-0.28185014067649095,0.3583475232847101,False
LAR,LCS,445,86,-0.024334687559620594,0.13427155696613866,-0.15860624452575925,116.91585422806314,1.9075460824469628,0.9,-0.608605063248998,0.29139257419747955,False
LAR,LDS,445,87,-0.024334687559620594,0.16519137399324457,-0.18952606155286517,120.12342390128913,2.330678052039843,0.9,-0.6293361439349914,0.250284020829261,False
LAR,LEC,445,174,-0.024334687559620594,0.0982592723335203,-0.1225939598931409,324.05963177830944,2.059929292574559,0.9,-0.4395753090153657,0.1943873892290839,False
LAR,LFA,445,138,-0.024334687559620594,0.02878708228705744,-0.05312176984667803,230.90367236136478,0.8110067532936783,0.9,-0.4032740715001404,0.2970305318067843,False
LAR,LFB,445,131,-0.024334687559620594,-0.07480022920394803,0.05046554164432744,206.27422805880192,0.726408371167464,0.9,-0.3214827792417598,0.42241386253041463,False
LAR,LFP,445,343,-0.024334687559620594,-0.032261941928111215,0.007927254368490622,717.1226455924054,0.157930160671861,0.9,-0.2580856468707158,0.273940155607697,False
LAR,LHR,445,178,-0.024334687559620594,-0.1310047931792722,0.1066701056196516,295.90155698032845,1.6295524650429039,0.9,-0.24228321715039877,0.45562342838970193,False
LAR,LIC,445,222,-0.024334687559620594,0.021469345692512604,-0.0458040332521332,428.23715440171156,0.801704365392776,0.9,-0.3494333731699669,0.2578253066657006,False
LAR,LII,445,361,-0.024334687559620594,0.18254949359558295,-0.20688418115520354,803.1293945510866,4.704906116806105,0.1750012994393081,-0.4398161156354642,0.026047753325057127,False
LAR,LIM,445,201,-0.024334687559620594,-0.0041591995166991086,-0.020175488042921484,356.9820166917593,0.32841007376814496,0.9,-0.34710928371962035,0.3067583076337774,False
LAR,LIN,445,64,-0.024334687559620594,0.04254897173690638,-0.06688365929652698,81.94219470045422,0.7329302704993919,0.9,-0.5659985585912083,0.4322312399981544,False
LAR,LIS,445,271,-0.024334687559620594,-0.00518103127124314,-0.019153656288377452,529.4653292225815,0.3446957008975739,0.9,-0.31406845519379134,0.27576114261703644,False
LAR,LIY,445,34,-0.024334687559620594,-0.201574093566915,0.1772394060072944,36.03437718698761,1.1431507584267435,0.9,-0.708884047853225,1.0633628598678138,False
