YEAR,SESSION,PPA_COMPLETION_DATE,students_reaching_ppa,students_reaching_ppa_with_3plus_that_day
2023,OTONO,2023-08-25,2,1
2023,OTONO,2023-08-28,6,0
2023,OTONO,2023-08-29,2,0
2023,OTONO,2023-08-30,3,0
2023,OTONO,2023-08-31,5,1
2023,OTONO,2023-09-10,1,0
2023,OTONO,2023-09-11,2,0
2023,OTONO,2023-09-13,1,0
2023,OTONO,2023-09-14,2,0
2023,OTONO,2023-09-15,1,0
2023,OTONO,2023-09-18,3,0
2023,OTONO,2023-09-19,1,0
2023,OTONO,2023-09-20,2,0
2023,OTONO,2023-09-21,6,0
2023,OTONO,2023-09-25,2,0
2023,OTONO,2023-09-27,3,0
2023,OTONO,2023-10-11,2,0
2023,OTONO,2023-10-16,2,0
2023,OTONO,2023-10-18,5,0
2023,OTONO,2023-10-19,2,0
2023,OTONO,2023-10-23,2,0
2023,OTONO,2023-10-24,2,0
2023,OTONO,2023-10-25,1,0
2023,OTONO,2023-10-26,6,0
2023,OTONO,2023-10-27,1,0
2023,OTONO,2023-10-30,2,0
2023,OTONO,2023-10-31,3,0
2023,OTONO,2023-11-09,3,0
2023,OTONO,2023-11-10,1,0
2023,OTONO,2023-11-13,5,0
2023,OTONO,2023-11-14,3,0
2023,OTONO,2023-11-15,1,0
2023,OTONO,2023-11-16,8,2
2023,OTONO,2023-11-22,1,0
2023,OTONO,2023-11-23,1,0
2023,OTONO,2023-12-09,1,0
2023,OTONO,2023-12-10,2,0
2023,PRIMAVERA,2023-01-17,1,0
2023,PRIMAVERA,2023-01-23,2,0
2023,PRIMAVERA,2023-01-31,2,0
2023,PRIMAVERA,2023-02-13,1,1
2023,PRIMAVERA,2023-02-15,1,0
2023,PRIMAVERA,2023-02-16,1,0
2023,PRIMAVERA,2023-02-22,1,0
2023,PRIMAVERA,2023-03-05,1,0
2023,PRIMAVERA,2023-03-10,1,0
2023,PRIMAVERA,2023-03-13,1,0
2023,PRIMAVERA,2023-03-23,1,0
2023,PRIMAVERA,2023-04-19,1,0
2023,PRIMAVERA,2023-04-20,1,0
2023,PRIMAVERA,2023-04-25,1,0
2023,PRIMAVERA,2023-05-09,1,0
2023,PRIMAVERA,2023-05-10,1,0
2024,PRIMAVERA,2024-02-19,1,0
2024,PRIMAVERA,2024-02-20,1,0
2024,PRIMAVERA,2024-02-21,1,0
2024,PRIMAVERA,2024-02-22,2,0
2024,PRIMAVERA,2024-02-28,2,0
2024,PRIMAVERA,2024-03-01,1,0
2024,PRIMAVERA,2024-03-04,1,0
2024,PRIMAVERA,2024-03-11,1,0
2024,PRIMAVERA,2024-03-14,1,0
2024,PRIMAVERA,2024-03-21,1,0
2024,PRIMAVERA,2024-04-03,1,0
2024,PRIMAVERA,2024-04-04,1,0
2024,PRIMAVERA,2024-04-08,1,0
2024,PRIMAVERA,2024-04-10,3,0
2024,PRIMAVERA,2024-04-11,1,0
2024,PRIMAVERA,2024-04-15,1,0
2024,PRIMAVERA,2024-04-16,2,0
2024,PRIMAVERA,2024-04-17,1,0
2024,PRIMAVERA,2024-04-19,1,0
2024,PRIMAVERA,2024-04-22,3,1
2024,PRIMAVERA,2024-04-24,1,0
2024,PRIMAVERA,2024-04-26,2,0
2024,PRIMAVERA,2024-04-29,3,1
