course,threshold,n,p_exact_threshold,p_threshold_minus_1,p_threshold_plus_1,local_bunching_ratio,share_gt_threshold,share_any_visit,mean_visits,median_visits
Matemáticas Universitarias,3,6627,0.025652633167345708,0.03696997132940999,0.014486192847442281,0.997067448680352,0.045571148332578845,0.18620793722649767,0.5390070921985816,0.0
Cálculo I,3,5046,0.025168450257629805,0.03785176377328577,0.015061434799841459,0.9513108614232209,0.05905667855727309,0.22017439556084026,0.667261196987713,0.0
