model,term,estimate,std_error,p_value,ci95_low,ci95_high,n
dose_groups_classroom_FE,"C(VISIT_GROUP_PERIOD, Treatment(reference='0'))[T.1-2]",0.3182973648743893,0.03546450605641782,2.8310346522981813e-19,0.24878821027430775,0.38780651947447087,6627
dose_groups_classroom_FE,"C(VISIT_GROUP_PERIOD, Treatment(reference='0'))[T.3]",0.4429155480097333,0.061370363298656486,5.311111112427373e-13,0.32263184622622787,0.5631992497932388,6627
dose_groups_classroom_FE,"C(VISIT_GROUP_PERIOD, Treatment(reference='0'))[T.4+]",0.46779568051129744,0.059610616075196236,4.243346213849494e-15,0.3509610199076684,0.5846303411149265,6627
