mu_visit_group,n,calc_users,p_calc_any_visit,ci95_low_wilson,ci95_high_wilson,mean_mu_visits,mean_calc_visits
0,2470,426,0.17246963562753037,0.1580824379333911,0.1878740322232222,0.0,0.43157894736842106
1-2,472,205,0.4343220338983051,0.39031347350739515,0.4793910281691543,1.3135593220338984,1.3601694915254237
3,103,56,0.5436893203883495,0.4476593463255317,0.6365776165476932,3.0,1.8446601941747574
4+,196,131,0.6683673469387755,0.599776515364408,0.7304852851122282,7.1479591836734695,3.61734693877551
