CLAVECARRERA,n,mean_career_rel_z,mean_classroom_z,visits
LAD,56,0.19144673903371467,-0.07510045838439895,1
LAR,20,-0.38636316520562386,-0.3953530680895721,1
LAT,42,0.4981860820951451,0.5938696449994234,1
LBC,12,0.5311299812218871,0.6019158155138679,1
LBI,11,0.13321235341861393,0.12045004837707401,1
LBM,23,0.028597338829209423,0.27175078933212665,1
LBN,13,0.48518000433735264,0.5396510858720873,1
LCN,11,0.0942385852147566,0.02286992390030003,1
LCS,10,0.22084964373618496,0.35632037677980216,1
LDS,4,0.19415199603600403,0.35643952308638677,1
LEC,10,0.2429584714778497,0.32513671036696623,1
LFA,14,0.2648868505486551,0.2798262068674901,1
LFB,12,0.04102775080868896,-0.033914928188442904,1
LFP,35,0.23855984952594553,0.20838854997012538,1
LHR,7,0.3550930331589354,0.25088031455942905,1
LIC,17,0.20856980388578553,0.22891773076211505,1
LII,28,0.17183966270197285,0.3208709964558077,1
LIM,8,0.17364008580533152,0.17801190217304402,1
LIN,4,0.10615409160943325,0.14510157477312596,1
LIS,22,0.49760556122308586,0.5195378134707164,1
LIY,5,-0.024108824533136276,-0.23172637153833123,1
LMK,28,0.15631914281320589,0.07632794482737881,1
LMT,20,0.4495173675697696,0.5502005396614864,1
LNA,4,0.7447948241595724,0.7987172551677384,1
LNI,44,-0.007197140007573821,0.08311421510524404,1
LNM,21,0.37496794206270984,0.5394987953629795,1
LPM,2,-0.439189373849383,-1.2380252018955322,1
LQI,14,0.33903570455082016,0.4032345584731711,1
LRT,3,0.37811686401645606,0.3864718418159323,1
LAD,25,0.2150990922016434,-0.05148123298116701,2
LAR,6,-0.21852078899019892,-0.2341767132613262,2
LAT,24,0.15280639835136028,0.26095969443225125,2
LBC,4,0.34009449645878786,0.44597033054855834,2
LBI,9,0.5067005456803019,0.49487158992035973,2
LBM,6,0.5021515082590403,0.6906809985993153,2
LBN,9,0.645294020679717,0.6978746460212953,2
LCN,11,0.2741177899833089,0.18598009911155866,2
LCS,4,-0.16671464469036115,-0.03334831994599974,2
LDS,5,-0.07543178071410975,0.09088779360822477,2
LEC,7,0.5000159093662583,0.5651799267274248,2
LFA,6,0.6435306270515327,0.6386752851974528,2
LFB,6,0.6634158950000489,0.5863122624855388,2
LFP,9,-0.1445193788645833,-0.1780478303820989,2
LHR,7,-0.06779938225346746,-0.20391969710219435,2
LIC,1,0.12356903494053283,0.14437398608360347,2
LII,16,0.10205887399623831,0.26470128910897067,2
LIM,6,0.0007108887360483725,-0.00341338449579461,2
LIN,5,0.3576325288235826,0.388048106110593,2
LIS,6,0.39044097603679595,0.4065340978410355,2
LMK,16,0.01115083372963781,-0.06907098273571048,2
LMT,8,0.5588427956242072,0.6485367500728317,2
LNA,5,0.1518342310684,0.20251756247490169,2
LNI,22,0.030278885006434168,0.11629437906455084,2
LNM,7,0.11561196936328243,0.29756281533554146,2
LPM,1,1.530143270446283,1.4854913984747924,2
LQI,5,0.18805509446849836,0.2464994676701317,2
LRT,3,0.8414491777027325,0.8723007524069227,2
LAD,9,0.13688061511523597,-0.12959015634640936,3
LAR,9,-0.19752484031942524,-0.21401463888403763,3
