CLAVECARRERA,n,mean_career_rel_z,mean_classroom_z,visits
LAT,16,0.3226149185798164,0.42463737651929806,3
LBC,5,0.015908640487080922,0.18133195411763053,3
LBI,3,0.5198123935876772,0.5080162044160189,3
LBM,6,0.6099805788527618,0.7860721027750074,3
LBN,5,0.5046029323016624,0.5588446885387238,3
LCN,4,0.30989341610168,0.21842058411352583,3
LCS,4,-0.18764182829077644,-0.05438913460109124,3
LDS,4,-0.20457627949731066,-0.036325147088344556,3
LEC,6,0.7454588860064728,0.7943774244920236,3
LFA,5,0.43697991073582854,0.4429226047682242,3
LFB,3,0.574682045656251,0.49788650018619945,3
LFP,9,0.40396948482898615,0.37524776865040627,3
LHR,5,0.1419563938768612,0.021662332637297776,3
LIC,7,0.4299861929441396,0.44914362867421803,3
LII,6,0.3849206052328639,0.49238946744386597,3
LIM,5,-0.1317966104798837,-0.14243103702898602,3
LIN,4,0.5633250053941816,0.5867620565336495,3
LIS,6,0.37734809549827913,0.39272781896097486,3
LMK,7,0.47539022603566117,0.39590591339234765,3
LMT,8,0.055030121506448884,0.19536652232602675,3
LNA,1,0.5060984972390383,0.558717028483113,3
LNI,14,0.4222977021243602,0.463376243329621,3
LNM,6,0.7128672568342136,0.8547026482720667,3
LPM,2,-0.5029137241945845,-1.3261536988844416,3
LQI,5,0.6084688559519879,0.6829368952645344,3
LRT,4,0.16026336843063474,0.15804070653240682,3
LAD,8,0.594333363837296,0.32722187866264485,4
LAR,3,-0.7395699217784296,-0.7345318786424259,4
LAT,9,0.05253624458534689,0.16430973641570085,4
LBC,2,0.4601324603574092,0.5439593429963373,4
LBI,1,0.1669380190269605,0.15425999463048287,4
LBM,1,0.8189668847783541,0.9709520648304526,4
LBN,8,0.38751621177597473,0.44314040361118434,4
LCN,2,-0.42112365938762986,-0.4444482751239981,4
LCS,1,-0.0884564396588751,0.045334813854908625,4
LDS,2,0.38776381618025435,0.5471555754635958,4
LEC,1,-0.3552770061015329,-0.23350251578695425,4
LFA,1,-1.112634559022563,-1.0256812882508552,4
LFB,4,0.6876323703518796,0.6104446573835909,4
LFP,2,0.7987402774001917,0.773478173339629,4
LIC,3,0.4791659899437355,0.49805900029341893,4
LII,5,-0.7053476390578997,-0.3852166666686501,4
LIM,2,0.8353326851930354,0.8722137579907561,4
LIS,5,0.36088339459925084,0.3753659976551095,4
LMK,5,0.4910001396624602,0.4115406253692053,4
LMT,7,0.29042219232937366,0.4070973576636145,4
LNA,1,0.7945296871776661,0.848723799266949,4
LNI,12,0.3543040889565163,0.40317670956766344,4
LNM,3,0.4483815906617932,0.6079815175318389,4
LPM,2,-0.36313004946503896,-1.132837877055447,4
LQI,3,0.041587318005092244,0.09444921279836917,4
LRT,1,0.2647324845201312,0.267582207008304,4
LAD,7,0.5340996533071974,0.26707253217764093,5
LAR,2,0.3785673312312223,0.33919747803955846,5
LAT,3,-0.0355365374679207,0.07941677108014418,5
LBC,1,0.4782108394882618,0.558717028483113,5
LBI,3,0.6271521258547824,0.6156241793319526,5
LBM,1,0.3847898122022205,0.586856846975367,5
LBN,3,0.08814064121487301,0.1472995417181657,5
LDS,2,-0.547981376677373,-0.3745940836212377,5
LEC,1,1.1034453605062582,1.128669345622016,5
LFA,5,-0.19202653083666643,-0.15320070645219355,5
LFB,2,0.4283290709939335,0.35204166819711075,5
LFP,3,-0.0474736351395865,-0.08015161687232837,5
LHR,2,0.7153670547605131,0.638337320772201,5
LII,3,0.6763162653454576,0.7269469904275191,5
LIM,2,0.4465211231964305,0.46429970824743005,5
LIS,1,0.81362556055307,0.852776952832833,5
LMK,4,0.5938065920119375,0.5145103989550839,5
LMT,1,0.47017116788276014,0.5687782529118824,5
LNI,3,0.8362722401030455,0.8298970533668872,5
LNM,2,0.572100891685035,0.7233910453319046,5
LQI,2,-0.01925193544987,0.03129112972099024,5
LAD,3,0.0480343387739654,-0.21831199354558192,6
LAR,2,0.5886447665200614,0.5409314859522161,6
LAT,8,-0.5227661499446864,-0.39022169880979585,6
LBC,2,1.1737469321730087,1.1264948600158586,6
LBI,1,-0.00884242616428578,-0.02195972697066724,6
LBN,2,0.3220147684827118,0.37841233176886085,6
LDS,2,0.3055776559303398,0.46619863785913374,6
LEC,1,0.5566231745002241,0.6180404473322603,6
LFA,2,1.0067452985484535,0.9829018595951426,6
LFB,3,0.315478821556225,0.23958323879282575,6
LFP,3,0.30946094188290063,0.2799109909245822,6
LHR,3,0.05004617676664924,-0.07718258935730173,6
LIC,1,0.7563246149779965,0.7737274244865695,6
LII,1,0.5198490812065932,0.6009994896114181,6
LMK,5,0.5504731741547207,0.47110814040528215,6
LMT,1,1.0095727801047754,1.053960075472603,6
LNA,1,0.9411130107424022,0.9961078471808259,6
LNI,3,0.7113947349177635,0.7193342043099747,6
LNM,1,-0.22691699118992825,-0.02195972697066724,6
LQI,2,0.7146428810484335,0.7931576411956975,6
LRT,1,0.27858718910564934,0.28210961171657967,6
LAD,3,0.7118200451259122,0.4445440067203372,7
LAT,3,-0.12835241899634528,-0.010048046874807018,7
LBM,1,0.8877785980526689,1.03182642156297,7
LCN,1,0.6245593793726025,0.5037521791035026,7
LCS,2,0.2738347987437325,0.4095932321851028,7
LDS,1,0.3627468553858294,0.5225127824686567,7
LFB,1,-1.5911244081701825,-1.6604001974912195,7
LFP,2,-0.8838500181701856,-0.9238576654313975,7
LIC,1,0.517064622666513,0.5357538631556935,7
LII,2,0.15369028888972722,0.30626174605221623,7
LIM,1,-0.2591984055247594,-0.27609213983790476,7
LIS,2,0.8744724341209905,0.9169392204856367,7
LMK,2,0.6197506423100438,0.5404956647048968,7
LNI,2,-0.4865584618594182,-0.34129811914976504,7
LQI,1,0.7418546153866101,0.8214065246124276,7
LAD,1,-0.47428157196938325,-0.7398963424664925,8
LAT,4,0.1086938017580934,0.21843975755562733,8
LBC,2,1.3952245783969826,1.3072907943010703,8
LBM,3,0.20032856299023774,0.4236730029241038,8
LBN,2,0.17249907315942803,0.23066195892423866,8
LFP,1,1.158089903988393,1.135976995223288,8
LHR,1,0.32332075725509024,0.21671079312808933,8
LII,2,0.7476086987052155,0.784333488805294,8
LIS,1,0.1396885372318912,0.1421187852739173,8
LMK,1,-1.4600858314549765,-1.5426448960765005,8
LNI,1,0.03499380043189649,0.12046882570910904,8
LAD,3,0.8893125276558281,0.6217878911866715,9
LBN,1,0.24636020430476246,0.3036510163061578,9
LDS,2,0.567218591203588,0.7239263234850293,9
LFA,1,0.3966345316583653,0.4046863970308693,9
LFP,1,-0.5175952246605856,-0.5543931625264928,9
LNI,3,0.6923594798378367,0.7024809525490658,9
LAD,2,0.15030304856993182,-0.1161865225102541,10
LAT,1,-0.2997104868248505,-0.17521933104447227,10
LBN,1,0.5561920263222091,0.6098246733474829,10
LCN,1,0.7883994096452416,0.6523184131980628,10
LFP,1,0.09993371514209025,0.06854755201628665,10
LHR,1,0.8139204297657512,0.7443266326352768,10
LII,2,0.4981028874659502,0.5834949964554221,10
LNI,2,0.436469558802873,0.47592358601137796,10
LNM,1,0.5471588829835086,0.7001243001852638,10
LRT,1,1.2164021197737735,1.2654591270516138,10
LAR,1,0.7774394815712183,0.7222280373292477,11
LNI,1,0.5952942226409019,0.6165422451396553,11
LBM,1,0.5635298735829916,0.7449794360106049,12
LEC,1,1.2752269593103016,1.2890809945794954,12
LMK,1,0.6878826489012763,0.6087359077277995,12
LMT,1,0.5232728572202582,0.6165422451396553,12
