group_a,group_b,n_a,n_b,mean_a,mean_b,mean_difference_a_minus_b,df,games_howell_q,p_adjusted,ci95_low,ci95_high,significant_05
0,1-2,5393,762,-0.060235425063538836,0.21818756086511845,-0.2784229859286573,1123.6078377325418,12.054020490600607,0.001,-0.3624677924029299,-0.1943781794543846,True
0,3,5393,170,-0.060235425063538836,0.3249941332679091,-0.38522955833144795,190.65374621771025,9.51770573735276,0.001,-0.5335951198969706,-0.23686399676592526,True
0,4+,5393,302,-0.060235425063538836,0.3421911368639076,-0.40242656192744647,373.4138140428772,13.1550963221954,0.001,-0.5140737490338507,-0.29077937482104227,True
1-2,3,762,170,0.21818756086511845,0.3249941332679091,-0.10680657240279065,273.611308996593,2.4003680047211007,0.3271273071776145,-0.26947184927279544,0.055858704467214165,False
1-2,4+,762,302,0.21818756086511845,0.3421911368639076,-0.12400357599878917,628.8394888923528,3.4694466450597163,0.06858855495017413,-0.254208599983138,0.0062014479855596605,False
3,4+,170,302,0.3249941332679091,0.3421911368639076,-0.017197003595998517,345.63051455053306,0.35234312929631817,0.9,-0.19539414592563356,0.16100013873363653,False
