group,n,mean,sd,median,ci95_low,ci95_high
0,5393,-0.060235425063538836,1.0171953372220004,0.3147044018738713,-0.0873838864839743,-0.03308696364310338
1-2,762,0.21818756086511845,0.8166278363579256,0.4527813694981027,0.16020428268013115,0.27617083905010575
3,170,0.3249941332679091,0.7241423783162877,0.5429689836429877,0.21613733045049416,0.43385093608532405
4+,302,0.3421911368639076,0.7122395135728762,0.5348004387103023,0.2618609710079519,0.4225213027198633
