mu_visit_group,n,calc_users,p_calc_any_visit,ci95_low_wilson,ci95_high_wilson,mean_mu_visits,mean_calc_visits
0,2597,456,0.17558721601848287,0.16143641991279523,0.19069633147604426,0.0,0.4543704274162495
1-2,487,209,0.42915811088295686,0.38592214373617084,0.4735029338320915,1.3162217659137576,1.3285420944558521
3,104,56,0.5384615384615384,0.44299302025822307,0.6311899524823574,3.0,1.8269230769230769
4+,201,133,0.6616915422885572,0.5937960750525061,0.7235225008559826,7.134328358208955,3.537313432835821
