MU_CAREER_OFFICIAL,n,mu_any_visit_rate,calc_any_visit_rate,persistence_given_mu_use,late_adoption_given_no_mu_use,mean_z_mu,mean_z_calc,mean_delta_z,official_career_change_rate_to_calc
LNI,297,0.24579124579124578,0.24579124579124578,0.4520547945205479,0.17857142857142858,0.33539986599743316,0.037745364555176845,-0.29765450144225636,0.003367003367003367
LAT,249,0.3493975903614458,0.42168674698795183,0.6781609195402298,0.2839506172839506,0.333140010684966,0.4309156185928292,0.0977756079078631,0.0
LII,238,0.21428571428571427,0.2857142857142857,0.47058823529411764,0.23529411764705882,0.35512550246417995,0.12093116407536822,-0.23419433838881162,0.0
LAD,219,0.2694063926940639,0.1415525114155251,0.288135593220339,0.0875,0.17004666643474134,-0.07270578968607279,-0.2427524561208141,0.0
LMT,186,0.1881720430107527,0.24731182795698925,0.42857142857142855,0.2052980132450331,0.39167456996124345,0.1421866923030704,-0.2494878776581731,0.005376344086021506
LFP,182,0.23626373626373626,0.21428571428571427,0.3953488372093023,0.15827338129496402,0.30906177516029676,0.014633956621995924,-0.29442781853830086,0.005494505494505495
LNM,169,0.21301775147928995,0.2485207100591716,0.5277777777777778,0.17293233082706766,0.4648391746332718,0.30060002405643954,-0.1642391505768322,0.005917159763313609
LBN,163,0.17177914110429449,0.27607361963190186,0.6428571428571429,0.2,0.3121637477022629,0.014362938338477049,-0.2978008093637859,0.0
LMK,162,0.2222222222222222,0.19135802469135801,0.4444444444444444,0.11904761904761904,0.2732353113331685,-0.03604362038846483,-0.30927893172163334,0.0
LIS,159,0.22012578616352202,0.20125786163522014,0.6285714285714286,0.08064516129032258,0.39418255440884953,0.20135501945609593,-0.19282753495275362,0.0
LBM,138,0.2608695652173913,0.2391304347826087,0.6111111111111112,0.10784313725490197,0.44360782344888855,0.244676805156677,-0.19893101829221152,0.0
LIC,131,0.17557251908396945,0.12213740458015267,0.21739130434782608,0.10185185185185185,0.3296542988853831,-0.22601557427977295,-0.555669873165156,0.0
LIM,115,0.1391304347826087,0.26956521739130435,0.375,0.25252525252525254,0.3452170770455771,-0.1574808847362557,-0.5026979617818328,0.0
LEC,102,0.21568627450980393,0.3431372549019608,0.7727272727272727,0.225,0.45205660707387213,0.22425516096622863,-0.22780144610764358,0.00980392156862745
LQI,92,0.30434782608695654,0.25,0.4642857142857143,0.15625,0.4324693066047817,0.17627366250715684,-0.25619564409762474,0.021739130434782608
LBI,90,0.2111111111111111,0.2111111111111111,0.5263157894736842,0.1267605633802817,0.33160114658240125,0.09660703305001256,-0.2349941135323887,0.022222222222222223
LFA,89,0.3146067415730337,0.39325842696629215,0.6071428571428571,0.29508196721311475,0.2785929239299039,0.6070475008668377,0.32845457693693375,0.0
LBC,80,0.3,0.2875,0.4583333333333333,0.21428571428571427,0.36251673671885587,0.11514617717505746,-0.2473705595437984,0.0
LFB,69,0.2753623188405797,0.10144927536231885,0.2631578947368421,0.04,0.3079489048784514,0.1300203392501484,-0.177928565628303,0.0
LDS,58,0.25862068965517243,0.22413793103448276,0.5333333333333333,0.11627906976744186,0.33310657364893176,0.48463450462640395,0.15152793097747233,0.017241379310344827
LRT,57,0.22807017543859648,0.19298245614035087,0.6153846153846154,0.06818181818181818,0.3508689851509758,0.19155711450921808,-0.15931187064175775,0.0
LCS,48,0.2708333333333333,0.3541666666666667,0.6923076923076923,0.22857142857142856,0.37611214119104686,0.1900898561487411,-0.1860222850423057,0.0
LIN,37,0.21621621621621623,0.4864864864864865,0.75,0.41379310344827586,0.2198497544957324,0.17661987924989928,-0.043229875245833126,0.0
LNA,34,0.23529411764705882,0.20588235294117646,0.75,0.038461538461538464,0.3294778909013653,0.10227150748740044,-0.22720638341396487,0.0
