group,n,mean,sd,median,q25,q75,ci95_low,ci95_high
0,5393,-0.060820037866852264,1.016716381449011,0.3153960925655452,-0.45898106310072856,0.6071930574206166,-0.08795571618472198,-0.033684359548982544
1-2,762,0.22783560001091077,0.8146272813264507,0.45974789491794105,0.014079719890783734,0.741504240880115,0.16999436785197092,0.2856768321698506
3,170,0.27779377804237565,0.7969659526256655,0.5526400355170643,0.05244314443463366,0.7675817712743902,0.15798976138078927,0.39759779470396206
4+,302,0.35485693622654396,0.6825255164683951,0.5421886923154509,0.15881227001735854,0.7862734348820102,0.2778780732261018,0.4318357992269861
