population,visits_exact,n,mean_z,sd_z,se_z,ci95_low,ci95_high
All first-MU attempts with CMAT coverage,0,5393,-0.060820037866852264,1.016716381449011,0.013844733835647816,-0.08795571618472198,-0.033684359548982544
All first-MU attempts with CMAT coverage,1,517,0.2189263123127385,0.8491592279104305,0.03734598014213145,0.14572819123416086,0.29212443339131616
All first-MU attempts with CMAT coverage,2,245,0.24663601527603354,0.7377761391895321,0.04713478855443258,0.1542518297093457,0.3390202008427214
All first-MU attempts with CMAT coverage,3,170,0.27779377804237565,0.7969659526256655,0.061124498296727746,0.15798976138078927,0.39759779470396206
All first-MU attempts with CMAT coverage,4,96,0.26660583068504984,0.6943849496349244,0.07087036715307338,0.127699911065026,0.4055117503050737
All first-MU attempts with CMAT coverage,5,55,0.38163091403010385,0.5938023634604198,0.08006829435507262,0.22469705709416152,0.5385647709660462
All first-MU attempts with CMAT coverage,6,50,0.2877066803249244,0.8378842272030756,0.11849472378090893,0.05545702171434291,0.519956338935506
All first-MU attempts with CMAT coverage,7,25,0.15397476596260384,0.8254643083179763,0.16509286166359527,-0.16960724289804285,0.47755677482325054
All first-MU attempts with CMAT coverage,8,19,0.3271868327616506,0.7755700600454406,0.1779279744933604,-0.02155199724533574,0.675925662768637
All first-MU attempts with CMAT coverage,9,11,0.5676868089065811,0.3265132196808178,0.09844743988837809,0.37472982672536004,0.7606437910878021
All first-MU attempts with CMAT coverage,10,13,0.46812970511601565,0.4372873158586442,0.12128167995679685,0.23041761240069383,0.7058417978313375
All first-MU attempts with CMAT coverage,11,2,0.6368300099642815,0.028691232165222246,0.02028776482462624,0.597065990908014,0.676594029020549
All first-MU attempts with CMAT coverage,12,4,0.8143881728342623,0.3157866257674074,0.1578933128837037,0.5049172795822031,1.1238590660863217
