course,threshold,n,p_exact_threshold,p_threshold_minus_1,p_threshold_plus_1,local_bunching_ratio,share_gt_threshold,share_any_visit,mean_visits,median_visits
Matemáticas Universitarias,3,6627,0.02127659574468085,0.03229213822242342,0.014486192847442281,0.9096774193548387,0.039233438961822846,0.16070620190131282,0.45933303153764904,0.0
Cálculo I,3,5046,0.017241379310344827,0.03329369797859691,0.012286959968291716,0.7565217391304347,0.04280618311533888,0.16072136345620294,0.4762187871581451,0.0
