ACTIVE_MONTHS_CAPPED4,students,mean_visits,mean_regularity,mean_effective_weeks
1,43,3.5348837209302326,0.31007751937984496,2.0765975391850815
2,156,3.8461538461538463,0.5908119658119657,2.889841117699131
3,154,4.766233766233766,0.8376623376623377,3.7385615955789926
4,119,9.067226890756302,1.0,6.432925755079554
