mu_visit_group,n,any_calc_visit_proportion,mean_calc_visits,median_calc_visits,q75_calc_visits
0,3274,0.16890653634697617,0.4276114844227245,0.0,0.0
1-2,567,0.4109347442680776,1.2839506172839505,0.0,2.0
3,129,0.5116279069767442,1.7829457364341086,1.0,3.0
4+,241,0.6058091286307054,3.116182572614108,1.0,4.0
