population,YEAR,SESSION,VISIT_DATE,visits,unique_students
All CMAT,2020,OTONO,2020-11-19,24,24
All CMAT,2020,OTONO,2020-11-20,17,15
All CMAT,2020,OTONO,2020-11-23,14,14
All CMAT,2020,OTONO,2020-11-24,5,5
All CMAT,2020,OTONO,2020-11-25,10,7
All CMAT,2020,OTONO,2020-11-26,12,12
All CMAT,2020,OTONO,2020-11-27,9,9
All CMAT,2020,OTONO,2020-11-30,17,15
All CMAT,2020,OTONO,2020-12-02,48,46
All CMAT,2020,OTONO,2020-12-03,53,48
All CMAT,2020,OTONO,2020-12-10,22,21
All CMAT,2020,OTONO,2020-12-11,10,9
All CMAT,2020,PRIMAVERA,2020-01-09,25,25
All CMAT,2020,PRIMAVERA,2020-01-10,16,14
All CMAT,2020,PRIMAVERA,2020-01-12,19,19
All CMAT,2020,PRIMAVERA,2020-01-22,7,6
All CMAT,2020,PRIMAVERA,2020-01-23,25,24
All CMAT,2020,PRIMAVERA,2020-01-24,9,8
All CMAT,2020,PRIMAVERA,2020-01-27,17,17
All CMAT,2020,PRIMAVERA,2020-01-28,23,22
All CMAT,2020,PRIMAVERA,2020-01-29,6,6
All CMAT,2020,PRIMAVERA,2020-01-30,28,28
All CMAT,2020,PRIMAVERA,2020-01-31,15,14
All CMAT,2020,PRIMAVERA,2020-02-03,13,13
All CMAT,2020,PRIMAVERA,2020-02-09,10,10
All CMAT,2020,PRIMAVERA,2020-02-10,5,5
All CMAT,2020,PRIMAVERA,2020-02-11,12,10
All CMAT,2020,PRIMAVERA,2020-02-12,10,10
All CMAT,2020,PRIMAVERA,2020-02-13,54,48
All CMAT,2020,PRIMAVERA,2020-02-14,26,25
All CMAT,2020,PRIMAVERA,2020-02-17,21,20
All CMAT,2020,PRIMAVERA,2020-02-18,26,26
All CMAT,2020,PRIMAVERA,2020-02-19,12,12
All CMAT,2020,PRIMAVERA,2020-02-20,30,28
All CMAT,2020,PRIMAVERA,2020-02-21,14,14
All CMAT,2020,PRIMAVERA,2020-02-24,23,23
All CMAT,2020,PRIMAVERA,2020-02-25,34,33
All CMAT,2020,PRIMAVERA,2020-02-26,3,3
All CMAT,2020,PRIMAVERA,2020-02-27,11,10
All CMAT,2020,PRIMAVERA,2020-02-28,9,8
All CMAT,2020,PRIMAVERA,2020-03-03,52,49
All CMAT,2020,PRIMAVERA,2020-03-09,16,16
All CMAT,2020,PRIMAVERA,2020-03-11,8,8
All CMAT,2020,PRIMAVERA,2020-03-12,7,7
All CMAT,2020,PRIMAVERA,2020-03-13,26,26
All CMAT,2020,PRIMAVERA,2020-04-02,51,51
All CMAT,2020,PRIMAVERA,2020-04-03,10,10
All CMAT,2020,PRIMAVERA,2020-04-09,11,11
All CMAT,2020,PRIMAVERA,2020-04-11,12,11
All CMAT,2020,PRIMAVERA,2020-04-12,8,7
All CMAT,2020,PRIMAVERA,2020-05-02,27,27
All CMAT,2020,PRIMAVERA,2020-05-03,50,46
All CMAT,2020,PRIMAVERA,2020-05-10,20,19
All CMAT,2020,PRIMAVERA,2020-05-11,4,4
All CMAT,2020,PRIMAVERA,2020-06-02,41,41
All CMAT,2020,PRIMAVERA,2020-06-03,12,12
All CMAT,2020,PRIMAVERA,2020-06-10,13,12
All CMAT,2020,PRIMAVERA,2020-06-11,9,9
All CMAT,2021,OTONO,2021-07-04,4,4
All CMAT,2021,OTONO,2021-07-05,12,12
All CMAT,2021,OTONO,2021-07-09,23,17
All CMAT,2021,OTONO,2021-07-10,8,7
All CMAT,2021,OTONO,2021-08-02,6,6
All CMAT,2021,OTONO,2021-08-03,6,5
All CMAT,2021,OTONO,2021-08-04,7,6
All CMAT,2021,OTONO,2021-08-09,23,19
All CMAT,2021,OTONO,2021-08-10,7,6
All CMAT,2021,OTONO,2021-08-11,23,22
All CMAT,2021,OTONO,2021-08-16,11,11
All CMAT,2021,OTONO,2021-08-17,2,2
All CMAT,2021,OTONO,2021-08-18,6,6
All CMAT,2021,OTONO,2021-08-19,3,3
All CMAT,2021,OTONO,2021-08-23,31,26
All CMAT,2021,OTONO,2021-08-24,4,4
All CMAT,2021,OTONO,2021-08-25,9,9
All CMAT,2021,OTONO,2021-08-26,9,9
All CMAT,2021,OTONO,2021-08-27,15,14
All CMAT,2021,OTONO,2021-08-30,14,14
All CMAT,2021,OTONO,2021-08-31,16,16
All CMAT,2021,OTONO,2021-09-02,12,12
All CMAT,2021,OTONO,2021-09-03,4,4
All CMAT,2021,OTONO,2021-09-04,9,9
All CMAT,2021,OTONO,2021-09-09,16,14
All CMAT,2021,OTONO,2021-09-11,28,23
All CMAT,2021,OTONO,2021-09-13,20,18
All CMAT,2021,OTONO,2021-09-14,14,12
All CMAT,2021,OTONO,2021-09-15,8,8
All CMAT,2021,OTONO,2021-09-17,8,8
All CMAT,2021,OTONO,2021-09-20,14,14
All CMAT,2021,OTONO,2021-09-21,12,10
All CMAT,2021,OTONO,2021-09-22,7,7
All CMAT,2021,OTONO,2021-09-23,2,2
All CMAT,2021,OTONO,2021-09-24,10,10
All CMAT,2021,OTONO,2021-09-27,16,15
All CMAT,2021,OTONO,2021-09-28,8,8
All CMAT,2021,OTONO,2021-09-29,15,15
All CMAT,2021,OTONO,2021-09-30,9,7
All CMAT,2021,OTONO,2021-10-02,14,11
All CMAT,2021,OTONO,2021-10-03,7,7
All CMAT,2021,OTONO,2021-10-05,5,3
All CMAT,2021,OTONO,2021-10-09,17,17
All CMAT,2021,OTONO,2021-10-11,16,15
All CMAT,2021,OTONO,2021-10-13,12,11
All CMAT,2021,OTONO,2021-10-14,2,2
All CMAT,2021,OTONO,2021-10-15,35,31
All CMAT,2021,OTONO,2021-10-18,21,20
All CMAT,2021,OTONO,2021-10-19,6,6
All CMAT,2021,OTONO,2021-10-20,13,13
All CMAT,2021,OTONO,2021-10-21,9,9
All CMAT,2021,OTONO,2021-10-22,5,5
All CMAT,2021,OTONO,2021-10-25,23,22
All CMAT,2021,OTONO,2021-10-26,14,13
All CMAT,2021,OTONO,2021-10-27,22,20
All CMAT,2021,OTONO,2021-10-28,3,3
All CMAT,2021,OTONO,2021-10-29,14,13
All CMAT,2021,OTONO,2021-11-02,11,11
All CMAT,2021,OTONO,2021-11-03,8,6
All CMAT,2021,OTONO,2021-11-05,12,9
All CMAT,2021,OTONO,2021-11-10,20,20
All CMAT,2021,OTONO,2021-11-11,8,6
All CMAT,2021,OTONO,2021-11-16,9,8
All CMAT,2021,OTONO,2021-11-17,20,19
All CMAT,2021,OTONO,2021-11-18,13,13
All CMAT,2021,OTONO,2021-11-19,8,8
All CMAT,2021,OTONO,2021-11-22,22,18
All CMAT,2021,OTONO,2021-11-23,10,10
All CMAT,2021,OTONO,2021-11-24,11,10
All CMAT,2021,OTONO,2021-11-25,14,13
All CMAT,2021,OTONO,2021-11-26,13,11
All CMAT,2021,OTONO,2021-11-30,4,4
All CMAT,2021,OTONO,2021-12-02,24,21
All CMAT,2021,OTONO,2021-12-03,15,15
All CMAT,2021,OTONO,2021-12-04,6,6
All CMAT,2021,OTONO,2021-12-05,2,2
All CMAT,2021,OTONO,2021-12-10,10,10
All CMAT,2021,OTONO,2021-12-11,28,26
All CMAT,2021,PRIMAVERA,2021-01-03,6,6
All CMAT,2021,PRIMAVERA,2021-01-09,25,24
All CMAT,2021,PRIMAVERA,2021-01-10,12,12
All CMAT,2021,PRIMAVERA,2021-01-11,12,12
All CMAT,2021,PRIMAVERA,2021-01-25,12,12
All CMAT,2021,PRIMAVERA,2021-01-26,3,3
All CMAT,2021,PRIMAVERA,2021-01-27,4,3
All CMAT,2021,PRIMAVERA,2021-01-29,8,8
All CMAT,2021,PRIMAVERA,2021-02-02,6,6
All CMAT,2021,PRIMAVERA,2021-02-03,12,11
All CMAT,2021,PRIMAVERA,2021-02-09,17,16
All CMAT,2021,PRIMAVERA,2021-02-11,22,22
All CMAT,2021,PRIMAVERA,2021-02-12,4,4
All CMAT,2021,PRIMAVERA,2021-02-15,23,23
All CMAT,2021,PRIMAVERA,2021-02-16,19,13
All CMAT,2021,PRIMAVERA,2021-02-17,11,11
All CMAT,2021,PRIMAVERA,2021-02-18,11,10
All CMAT,2021,PRIMAVERA,2021-02-19,6,6
All CMAT,2021,PRIMAVERA,2021-02-22,28,22
All CMAT,2021,PRIMAVERA,2021-02-23,8,8
All CMAT,2021,PRIMAVERA,2021-02-24,2,2
All CMAT,2021,PRIMAVERA,2021-02-25,7,6
All CMAT,2021,PRIMAVERA,2021-02-26,15,13
All CMAT,2021,PRIMAVERA,2021-03-02,7,7
All CMAT,2021,PRIMAVERA,2021-03-03,6,6
All CMAT,2021,PRIMAVERA,2021-03-05,5,5
All CMAT,2021,PRIMAVERA,2021-03-09,17,17
All CMAT,2021,PRIMAVERA,2021-03-11,17,13
All CMAT,2021,PRIMAVERA,2021-03-16,19,12
All CMAT,2021,PRIMAVERA,2021-03-17,4,4
All CMAT,2021,PRIMAVERA,2021-03-18,8,7
All CMAT,2021,PRIMAVERA,2021-03-19,26,23
All CMAT,2021,PRIMAVERA,2021-03-22,12,10
All CMAT,2021,PRIMAVERA,2021-03-23,8,7
All CMAT,2021,PRIMAVERA,2021-03-24,3,3
All CMAT,2021,PRIMAVERA,2021-03-25,4,3
All CMAT,2021,PRIMAVERA,2021-03-26,7,6
All CMAT,2021,PRIMAVERA,2021-04-02,12,11
All CMAT,2021,PRIMAVERA,2021-04-03,14,14
All CMAT,2021,PRIMAVERA,2021-04-05,13,13
All CMAT,2021,PRIMAVERA,2021-04-10,20,17
All CMAT,2021,PRIMAVERA,2021-04-11,18,18
All CMAT,2021,PRIMAVERA,2021-04-13,8,7
All CMAT,2021,PRIMAVERA,2021-04-14,6,6
All CMAT,2021,PRIMAVERA,2021-04-15,4,3
All CMAT,2021,PRIMAVERA,2021-04-16,17,17
All CMAT,2021,PRIMAVERA,2021-04-19,12,12
All CMAT,2021,PRIMAVERA,2021-04-20,15,14
All CMAT,2021,PRIMAVERA,2021-04-21,11,10
All CMAT,2021,PRIMAVERA,2021-04-22,3,3
All CMAT,2021,PRIMAVERA,2021-04-23,20,18
All CMAT,2021,PRIMAVERA,2021-04-26,7,7
All CMAT,2021,PRIMAVERA,2021-04-27,11,9
All CMAT,2021,PRIMAVERA,2021-04-28,1,1
All CMAT,2021,PRIMAVERA,2021-04-29,12,7
All CMAT,2021,PRIMAVERA,2021-04-30,4,4
All CMAT,2021,PRIMAVERA,2021-05-02,14,13
All CMAT,2021,PRIMAVERA,2021-05-03,16,13
All CMAT,2021,PRIMAVERA,2021-05-04,3,3
All CMAT,2021,PRIMAVERA,2021-05-05,5,5
All CMAT,2021,PRIMAVERA,2021-05-10,22,13
All CMAT,2021,PRIMAVERA,2021-05-11,10,9
All CMAT,2021,PRIMAVERA,2021-05-13,4,4
All CMAT,2021,PRIMAVERA,2021-05-14,4,3
All CMAT,2021,PRIMAVERA,2021-06-04,6,4
All CMAT,2021,PRIMAVERA,2021-06-05,6,5
All CMAT,2021,PRIMAVERA,2021-06-09,36,29
All CMAT,2021,PRIMAVERA,2021-06-10,15,11
All CMAT,2022,OTONO,2022-07-03,9,9
All CMAT,2022,OTONO,2022-07-04,6,4
All CMAT,2022,OTONO,2022-07-09,34,32
All CMAT,2022,OTONO,2022-07-10,39,31
All CMAT,2022,OTONO,2022-07-11,28,26
All CMAT,2022,OTONO,2022-08-02,11,10
All CMAT,2022,OTONO,2022-08-03,10,8
All CMAT,2022,OTONO,2022-08-04,4,3
All CMAT,2022,OTONO,2022-08-09,31,28
All CMAT,2022,OTONO,2022-08-11,34,30
All CMAT,2022,OTONO,2022-08-15,16,14
All CMAT,2022,OTONO,2022-08-16,6,6
All CMAT,2022,OTONO,2022-08-17,17,17
All CMAT,2022,OTONO,2022-08-18,17,17
All CMAT,2022,OTONO,2022-08-19,7,7
All CMAT,2022,OTONO,2022-08-22,14,14
All CMAT,2022,OTONO,2022-08-23,13,13
All CMAT,2022,OTONO,2022-08-24,25,25
All CMAT,2022,OTONO,2022-08-25,24,24
All CMAT,2022,OTONO,2022-08-26,10,10
All CMAT,2022,OTONO,2022-08-29,39,37
All CMAT,2022,OTONO,2022-08-30,38,37
All CMAT,2022,OTONO,2022-08-31,42,42
All CMAT,2022,OTONO,2022-09-02,5,5
All CMAT,2022,OTONO,2022-09-03,2,2
All CMAT,2022,OTONO,2022-09-05,3,2
All CMAT,2022,OTONO,2022-09-09,17,16
All CMAT,2022,OTONO,2022-09-11,28,26
All CMAT,2022,OTONO,2022-09-13,15,14
All CMAT,2022,OTONO,2022-09-14,19,19
All CMAT,2022,OTONO,2022-09-15,17,15
All CMAT,2022,OTONO,2022-09-19,25,25
All CMAT,2022,OTONO,2022-09-20,30,26
All CMAT,2022,OTONO,2022-09-21,29,28
All CMAT,2022,OTONO,2022-09-22,28,27
