stage,n
"eligible first MU attempts, all academic periods",7777
primary MU cohort with advisory coverage,6627
first Calculus I attempts with advisory coverage (comparator),5046
students progressing from MU to later Calculus I,5048
longitudinal pairs with Calculus advisory coverage,4211
