CLASSROOM_ID,n_adverse_imputed,n_numeric_below_pass_pool,n_unique_numeric_below_pass_pool,method,kde_library,kde_bw_method,kde_factor,support_low,support_high_exclusive,seed
23425|2020|OTONO,7,3,3,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8027415617602307,0.0,7.5,42
23452|2023|OTONO,2,3,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8027415617602307,0.0,7.5,42
23852|2019|OTONO,2,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
22473|2019|PRIMAVERA,4,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
22471|2019|OTONO,13,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
22521|2019|OTONO,17,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
23839|2020|OTONO,1,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
22474|2019|PRIMAVERA,8,4,3,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.757858283255199,0.0,7.5,42
22091|2019|PRIMAVERA,2,1,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
18269|2019|OTONO,8,4,4,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.757858283255199,0.0,7.5,42
20792|2019|PRIMAVERA,9,5,5,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.7247796636776955,0.0,7.5,42
23133|2020|OTONO,6,3,3,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8027415617602307,0.0,7.5,42
21854|2019|OTONO,3,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
23897|2020|OTONO,4,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
23411|2020|PRIMAVERA,7,0,0,uniform_fallback_no_observed_subpass_grade,,,,0.0,7.5,42
23096|2019|OTONO,12,7,4,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.677610913400481,0.0,7.5,42
23468|2020|PRIMAVERA,4,6,5,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.6988271187715792,0.0,7.5,42
24085|2020|OTONO,1,0,0,uniform_fallback_no_observed_subpass_grade,,,,0.0,7.5,42
24097|2020|PRIMAVERA,6,3,3,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8027415617602307,0.0,7.5,42
23839|2021|OTONO,4,4,4,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.757858283255199,0.0,7.5,42
23874|2019|OTONO,6,3,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8027415617602307,0.0,7.5,42
23452|2021|PRIMAVERA,1,0,0,uniform_fallback_no_observed_subpass_grade,,,,0.0,7.5,42
23442|2021|OTONO,2,5,5,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.7247796636776955,0.0,7.5,42
23411|2021|OTONO,3,3,3,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8027415617602307,0.0,7.5,42
23852|2021|OTONO,9,0,0,uniform_fallback_no_observed_subpass_grade,,,,0.0,7.5,42
23149|2021|PRIMAVERA,5,4,4,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.757858283255199,0.0,7.5,42
23836|2022|PRIMAVERA,4,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
21854|2022|PRIMAVERA,8,5,5,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.7247796636776955,0.0,7.5,42
21779|2023|OTONO,21,7,7,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.677610913400481,0.0,7.5,42
23836|2023|OTONO,4,2,1,within_classroom_empirical_degenerate_kde,scipy.stats.gaussian_kde,,,0.0,7.5,42
23836|2021|OTONO,3,3,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8027415617602307,0.0,7.5,42
23452|2021|OTONO,4,7,7,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.677610913400481,0.0,7.5,42
23148|2023|OTONO,10,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
