CLASSROOM_ID,n_adverse_imputed,n_numeric_below_pass_pool,n_unique_numeric_below_pass_pool,method,kde_library,kde_bw_method,kde_factor,support_low,support_high_exclusive,seed
23837|2019|OTONO,16,12,7,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.6083643418932057,0.0,7.5,42
23452|2019|OTONO,4,2,2,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8705505632961241,0.0,7.5,42
21779|2021|PRIMAVERA,1,0,0,uniform_fallback_no_observed_subpass_grade,,,,0.0,7.5,42
23824|2020|PRIMAVERA,3,0,0,uniform_fallback_no_observed_subpass_grade,,,,0.0,7.5,42
23823|2020|PRIMAVERA,5,3,3,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.8027415617602307,0.0,7.5,42
23453|2019|OTONO,25,10,8,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.6309573444801932,0.0,7.5,42
18269|2019|PRIMAVERA,7,12,11,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.6083643418932057,0.0,7.5,42
23874|2020|OTONO,6,5,5,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.7247796636776955,0.0,7.5,42
23978|2020|OTONO,3,0,0,uniform_fallback_no_observed_subpass_grade,,,,0.0,7.5,42
20792|2020|OTONO,2,4,4,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.757858283255199,0.0,7.5,42
23453|2020|OTONO,3,7,7,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.677610913400481,0.0,7.5,42
23453|2020|PRIMAVERA,7,4,4,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.757858283255199,0.0,7.5,42
23874|2020|PRIMAVERA,3,4,3,within_classroom_scipy_gaussian_kde_default_scott,scipy.stats.gaussian_kde,None (SciPy default; Scott factor),0.757858283255199,0.0,7.5,42
