mu_group,n,calc_users,calc_use_rate,ci95_low,ci95_high
0,2470,426,0.17246963562753037,0.1580824379333911,0.1878740322232222
1-2,472,205,0.4343220338983051,0.39031347350739515,0.4793910281691543
3,103,56,0.5436893203883495,0.4476593463255318,0.6365776165476932
4+,196,131,0.6683673469387755,0.599776515364408,0.7304852851122282
