population,group1,group2,n1,n2,mean1,mean2,mean_diff_group1_minus_group2,games_howell_ci95_low,games_howell_ci95_high,games_howell_q,games_howell_df,games_howell_p,welch_t_reference,welch_p_reference
MU students with later Calculus and CMAT coverage,0,1,3274,384,0.3153701949267143,0.4285414266095258,-0.11317123168281151,-0.2044104011739778,-0.02193206219164523,4.803089529904326,483.01794427797205,0.0066076124070335585,-3.396297177241455,0.0007394046354377796
MU students with later Calculus and CMAT coverage,0,2,3274,183,0.3153701949267143,0.45911362476879025,-0.14374342984207594,-0.25354852187083243,-0.033938337813319466,5.0933978727855145,213.50826739898304,0.003577176276735594,-3.6015761751277733,0.0003934007702266324
MU students with later Calculus and CMAT coverage,0,3,3274,129,0.3153701949267143,0.4428011551070668,-0.1274309601803525,-0.28003769151807767,0.02517577115737271,3.2639499812181763,138.93319814338753,0.14853256843878626,-2.3079611651730767,0.022478128010262957
MU students with later Calculus and CMAT coverage,0,4+,3274,241,0.3153701949267143,0.48265742220282565,-0.16728722727611134,-0.26736893066567674,-0.06720552388654594,6.4887216300549895,290.97931672829293,6.496117283749658e-05,-4.588219065843711,6.653419165700402e-06
MU students with later Calculus and CMAT coverage,1,2,384,183,0.4285414266095258,0.45911362476879025,-0.03057219815926443,-0.16640827673312944,0.10526388041460058,0.8720257055053288,418.8527864314441,0.9724165663018602,-0.6166152897318014,0.5378235009263381
MU students with later Calculus and CMAT coverage,1,3,384,129,0.4285414266095258,0.4428011551070668,-0.01425972849754098,-0.18633204869499392,0.15781259169991196,0.3223461008673488,220.61228862472672,0.9993979450066786,-0.22793311381234516,0.8199093524956925
MU students with later Calculus and CMAT coverage,1,4+,384,241,0.4285414266095258,0.48265742220282565,-0.054115995593299826,-0.1823233630321108,0.07409137184551115,1.6336358233401866,559.0042831102933,0.7768344976483056,-1.1551549686731148,0.2485204992229613
MU students with later Calculus and CMAT coverage,2,3,183,129,0.45911362476879025,0.4428011551070668,0.01631246966172345,-0.16590662117335264,0.19853156049679954,0.3479238910196087,245.3878616604806,0.9991868874960007,0.2460193426767746,0.805872915544287
MU students with later Calculus and CMAT coverage,2,4+,183,241,0.45911362476879025,0.48265742220282565,-0.023543797434035396,-0.16533148436792292,0.11824388949985212,0.6434996629147413,399.35112426790295,0.991139826127749,-0.455022975338271,0.6493399737887331
MU students with later Calculus and CMAT coverage,3,4+,129,241,0.4428011551070668,0.48265742220282565,-0.039856267095758846,-0.21659239285687587,0.13687985866535818,0.8767698091879154,234.11983816159628,0.971794456091237,-0.6199698776164103,0.535880560000975
