population,YEAR,SESSION,VISIT_DATE,visits,unique_students
First-MU cohort during MU term,2019,OTONO,2019-07-10,31,28
First-MU cohort during MU term,2019,OTONO,2019-07-11,38,33
First-MU cohort during MU term,2019,OTONO,2019-08-10,37,34
First-MU cohort during MU term,2019,OTONO,2019-08-11,8,8
First-MU cohort during MU term,2019,OTONO,2019-08-20,1,1
First-MU cohort during MU term,2019,OTONO,2019-08-21,3,3
First-MU cohort during MU term,2019,OTONO,2019-08-22,7,7
First-MU cohort during MU term,2019,OTONO,2019-08-23,3,3
First-MU cohort during MU term,2019,OTONO,2019-08-26,17,17
First-MU cohort during MU term,2019,OTONO,2019-08-27,7,6
First-MU cohort during MU term,2019,OTONO,2019-08-28,11,10
First-MU cohort during MU term,2019,OTONO,2019-08-29,20,14
First-MU cohort during MU term,2019,OTONO,2019-08-30,7,7
First-MU cohort during MU term,2019,OTONO,2019-09-09,12,12
First-MU cohort during MU term,2019,OTONO,2019-09-10,34,28
First-MU cohort during MU term,2019,OTONO,2019-09-13,21,16
First-MU cohort during MU term,2019,OTONO,2019-09-17,6,6
First-MU cohort during MU term,2019,OTONO,2019-09-18,16,13
First-MU cohort during MU term,2019,OTONO,2019-09-19,10,9
First-MU cohort during MU term,2019,OTONO,2019-09-20,8,8
First-MU cohort during MU term,2019,OTONO,2019-09-23,7,7
First-MU cohort during MU term,2019,OTONO,2019-09-24,10,10
First-MU cohort during MU term,2019,OTONO,2019-09-25,15,14
First-MU cohort during MU term,2019,OTONO,2019-09-26,25,21
First-MU cohort during MU term,2019,OTONO,2019-09-27,24,22
First-MU cohort during MU term,2019,OTONO,2019-09-30,8,8
First-MU cohort during MU term,2019,OTONO,2019-10-09,22,22
First-MU cohort during MU term,2019,OTONO,2019-10-10,39,36
First-MU cohort during MU term,2019,OTONO,2019-10-14,18,15
First-MU cohort during MU term,2019,OTONO,2019-10-15,9,8
First-MU cohort during MU term,2019,OTONO,2019-10-16,20,20
First-MU cohort during MU term,2019,OTONO,2019-10-17,17,17
First-MU cohort during MU term,2019,OTONO,2019-10-18,7,7
First-MU cohort during MU term,2019,OTONO,2019-10-21,6,6
First-MU cohort during MU term,2019,OTONO,2019-10-22,14,14
First-MU cohort during MU term,2019,OTONO,2019-10-23,15,15
First-MU cohort during MU term,2019,OTONO,2019-10-24,24,20
First-MU cohort during MU term,2019,OTONO,2019-10-25,18,17
First-MU cohort during MU term,2019,OTONO,2019-10-28,18,18
First-MU cohort during MU term,2019,OTONO,2019-10-29,15,14
First-MU cohort during MU term,2019,OTONO,2019-10-30,16,16
First-MU cohort during MU term,2019,OTONO,2019-10-31,27,21
First-MU cohort during MU term,2019,OTONO,2019-11-09,31,28
First-MU cohort during MU term,2019,OTONO,2019-11-10,15,15
First-MU cohort during MU term,2019,OTONO,2019-11-11,18,18
First-MU cohort during MU term,2019,OTONO,2019-11-13,18,18
First-MU cohort during MU term,2019,OTONO,2019-11-14,13,12
First-MU cohort during MU term,2019,OTONO,2019-11-15,2,2
First-MU cohort during MU term,2019,OTONO,2019-11-19,10,10
First-MU cohort during MU term,2019,OTONO,2019-11-20,7,7
First-MU cohort during MU term,2019,OTONO,2019-11-21,20,18
First-MU cohort during MU term,2019,OTONO,2019-11-22,6,5
First-MU cohort during MU term,2019,OTONO,2019-11-25,12,11
First-MU cohort during MU term,2019,OTONO,2019-11-26,9,9
First-MU cohort during MU term,2019,OTONO,2019-11-27,11,11
First-MU cohort during MU term,2019,OTONO,2019-11-28,26,23
First-MU cohort during MU term,2019,OTONO,2019-11-29,18,18
First-MU cohort during MU term,2019,OTONO,2019-12-09,24,20
First-MU cohort during MU term,2019,OTONO,2019-12-11,13,13
First-MU cohort during MU term,2019,PRIMAVERA,2019-01-10,4,4
First-MU cohort during MU term,2019,PRIMAVERA,2019-01-11,12,12
First-MU cohort during MU term,2019,PRIMAVERA,2019-02-09,2,2
First-MU cohort during MU term,2019,PRIMAVERA,2019-02-10,5,5
First-MU cohort during MU term,2019,PRIMAVERA,2019-03-09,4,4
First-MU cohort during MU term,2019,PRIMAVERA,2019-03-10,2,2
First-MU cohort during MU term,2019,PRIMAVERA,2019-04-09,9,8
First-MU cohort during MU term,2019,PRIMAVERA,2019-04-10,8,5
First-MU cohort during MU term,2019,PRIMAVERA,2019-04-11,1,1
First-MU cohort during MU term,2019,PRIMAVERA,2019-05-09,12,10
First-MU cohort during MU term,2019,PRIMAVERA,2019-05-11,4,4
First-MU cohort during MU term,2019,PRIMAVERA,2019-06-09,13,9
First-MU cohort during MU term,2019,PRIMAVERA,2019-06-11,9,8
First-MU cohort during MU term,2020,OTONO,2020-07-09,3,3
First-MU cohort during MU term,2020,OTONO,2020-07-10,2,2
First-MU cohort during MU term,2020,OTONO,2020-07-12,3,3
First-MU cohort during MU term,2020,OTONO,2020-08-09,4,3
First-MU cohort during MU term,2020,OTONO,2020-08-10,3,3
First-MU cohort during MU term,2020,OTONO,2020-08-12,2,2
First-MU cohort during MU term,2020,OTONO,2020-08-31,2,2
First-MU cohort during MU term,2020,OTONO,2020-09-09,4,4
First-MU cohort during MU term,2020,OTONO,2020-09-10,6,6
First-MU cohort during MU term,2020,OTONO,2020-09-11,7,5
First-MU cohort during MU term,2020,OTONO,2020-09-12,8,4
First-MU cohort during MU term,2020,OTONO,2020-09-14,6,6
First-MU cohort during MU term,2020,OTONO,2020-09-15,10,9
First-MU cohort during MU term,2020,OTONO,2020-09-17,14,13
First-MU cohort during MU term,2020,OTONO,2020-09-18,14,14
First-MU cohort during MU term,2020,OTONO,2020-09-21,13,13
First-MU cohort during MU term,2020,OTONO,2020-09-22,6,6
First-MU cohort during MU term,2020,OTONO,2020-09-23,8,6
First-MU cohort during MU term,2020,OTONO,2020-09-24,4,4
First-MU cohort during MU term,2020,OTONO,2020-09-25,6,6
First-MU cohort during MU term,2020,OTONO,2020-09-28,9,9
